name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Will Smallbone,MID,Southampton,Newcastle,90,0,0,1,0,13,0,0,0,0,0,0,4.1,4.8,7.7,28.0,False,2,2.0,4.0,-2.0
Will Smallbone,MID,Southampton,Nott'm Forest,83,0,0,1,0,9,0,0,0,0,0,0,0.7,0.0,7.8,0.0,True,2,2.0,4.0,-2.0
Will Smallbone,MID,Southampton,Brentford,45,0,0,1,0,6,0,0,0,0,0,0,6.1,15.8,41.4,4.0,False,1,2.0,3.0,-1.0
Will Smallbone,MID,Southampton,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Will Smallbone,MID,Southampton,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Will Smallbone,MID,Southampton,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Will Smallbone,MID,Southampton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Will Smallbone,MID,Southampton,Leicester,22,0,0,2,0,3,0,0,0,0,0,0,0.2,2.0,0.2,0.0,True,1,2.0,3.0,-1.0
Will Smallbone,MID,Southampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Will Smallbone,MID,Southampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Will Smallbone,MID,Southampton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Will Smallbone,MID,Southampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,5.0,-3.0
Will Smallbone,MID,Southampton,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Will Smallbone,MID,Southampton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Will Smallbone,MID,Southampton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Will Smallbone,MID,Southampton,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Will Smallbone,MID,Southampton,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Will Smallbone,MID,Southampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Will Smallbone,MID,Southampton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Will Smallbone,MID,Southampton,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Will Smallbone,MID,Southampton,Man Utd,27,0,0,3,0,3,0,0,0,0,0,0,0.1,0.4,0.9,0.0,False,1,2.0,3.0,-1.0
Will Smallbone,MID,Southampton,Nott'm Forest,4,0,0,0,0,3,0,0,0,0,0,0,0.1,0.6,0.6,0.0,False,1,2.0,4.0,-2.0
Will Smallbone,MID,Southampton,Newcastle,11,0,0,0,0,3,0,0,0,0,0,0,0.3,2.2,0.3,0.0,True,1,2.0,4.0,-2.0
