name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Darnell Furlong,DEF,West Brom,Leicester,68,0,0,1,0,6,0,0,0,0,0,0,3.0,6.2,11.5,12.0,True,2020-09-13T13:00:00Z,2
Darnell Furlong,DEF,West Brom,Everton,90,0,0,5,0,5,0,0,0,0,0,0,1.8,6.6,9.2,2.0,False,2020-09-19T11:30:00Z,0
Darnell Furlong,DEF,West Brom,Chelsea,90,0,1,3,0,20,1,0,0,0,0,0,5.3,30.6,18.8,4.0,True,2020-09-26T16:30:00Z,3
Darnell Furlong,DEF,West Brom,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-10-04T11:00:00Z,0
Darnell Furlong,DEF,West Brom,Burnley,90,0,0,0,1,26,0,0,0,0,0,0,5.7,20.6,15.3,21.0,True,2020-10-19T16:30:00Z,7
Darnell Furlong,DEF,West Brom,Brighton,90,0,0,1,0,12,0,0,0,0,0,0,2.9,11.6,6.0,11.0,False,2020-10-26T17:30:00Z,2
Darnell Furlong,DEF,West Brom,Fulham,90,0,0,2,0,13,0,0,0,0,0,0,4.6,26.6,15.0,4.0,False,2020-11-02T17:30:00Z,1
Darnell Furlong,DEF,West Brom,Spurs,90,0,0,1,0,16,0,0,0,0,0,0,7.9,16.2,19.6,43.0,True,2020-11-08T12:00:00Z,2
Darnell Furlong,DEF,West Brom,Man Utd,90,0,0,1,0,4,0,0,0,0,0,0,0.9,7.8,0.8,0.0,False,2020-11-21T20:00:00Z,2
Darnell Furlong,DEF,West Brom,Sheffield Utd,90,0,0,0,1,21,0,0,0,0,0,0,5.0,18.8,21.6,10.0,True,2020-11-28T20:00:00Z,6
Darnell Furlong,DEF,West Brom,Crystal Palace,90,0,1,5,0,16,0,0,1,0,0,0,4.6,24.4,11.6,10.0,True,2020-12-06T12:00:00Z,1
Darnell Furlong,DEF,West Brom,Newcastle,90,1,0,2,0,21,1,0,0,0,0,0,7.3,41.8,12.3,19.0,False,2020-12-12T15:00:00Z,7
Darnell Furlong,DEF,West Brom,Man City,90,0,0,1,0,7,0,0,0,0,0,0,0.9,4.4,0.1,4.0,False,2020-12-15T20:00:00Z,2
Darnell Furlong,DEF,West Brom,Aston Villa,90,0,0,3,0,8,0,0,0,0,0,0,1.1,10.4,0.9,0.0,True,2020-12-20T19:15:00Z,1
Darnell Furlong,DEF,West Brom,Liverpool,90,0,0,1,0,13,0,0,0,0,0,0,4.1,26.0,14.8,0.0,False,2020-12-27T16:30:00Z,2
Darnell Furlong,DEF,West Brom,Leeds,90,0,0,5,0,8,0,0,0,0,0,0,1.9,12.6,0.8,6.0,True,2020-12-29T18:00:00Z,0
Darnell Furlong,DEF,West Brom,Arsenal,90,0,0,4,0,10,0,0,0,0,0,0,1.3,7.0,1.8,4.0,True,2021-01-02T20:00:00Z,0
Darnell Furlong,DEF,West Brom,Wolves,8,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-16T12:30:00Z,1
Darnell Furlong,DEF,West Brom,West Ham,20,0,0,0,0,4,0,0,0,0,0,0,1.5,5.4,4.0,6.0,False,2021-01-19T18:00:00Z,1
Darnell Furlong,DEF,West Brom,Man City,90,0,0,5,0,9,0,0,0,0,0,0,2.0,11.8,0.9,7.0,True,2021-01-26T20:15:00Z,0
