name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Diego Llorente,DEF,Leeds,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-09-27T11:00:00Z,0
Diego Llorente,DEF,Leeds,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-10-03T16:30:00Z,0
Diego Llorente,DEF,Leeds,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-10-19T19:00:00Z,0
Diego Llorente,DEF,Leeds,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-10-23T19:00:00Z,0
Diego Llorente,DEF,Leeds,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-11-02T20:00:00Z,0
Diego Llorente,DEF,Leeds,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-11-07T15:00:00Z,0
Diego Llorente,DEF,Leeds,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-11-22T16:30:00Z,0
Diego Llorente,DEF,Leeds,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-11-28T17:30:00Z,0
Diego Llorente,DEF,Leeds,Chelsea,81,0,0,3,0,11,1,0,0,0,0,0,3.1,30.2,0.9,0.0,False,2020-12-05T20:00:00Z,0
Diego Llorente,DEF,Leeds,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-11T20:00:00Z,0
Diego Llorente,DEF,Leeds,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-16T18:00:00Z,0
Diego Llorente,DEF,Leeds,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-20T16:30:00Z,0
Diego Llorente,DEF,Leeds,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-27T12:00:00Z,0
Diego Llorente,DEF,Leeds,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-29T18:00:00Z,0
Diego Llorente,DEF,Leeds,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-02T12:30:00Z,0
Diego Llorente,DEF,Leeds,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-16T15:00:00Z,0
Diego Llorente,DEF,Leeds,Newcastle,9,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-26T18:00:00Z,1
Diego Llorente,DEF,Leeds,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-31T14:00:00Z,0
Diego Llorente,DEF,Leeds,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-02-03T19:30:00Z,0
Diego Llorente,DEF,Leeds,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-02-08T20:00:00Z,0
Diego Llorente,DEF,Leeds,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-02-14T16:30:00Z,0
Diego Llorente,DEF,Leeds,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-02-19T20:00:00Z,0
Diego Llorente,DEF,Leeds,Southampton,90,0,0,0,1,24,0,0,0,0,0,0,3.8,18.4,0.3,19.0,True,2021-02-23T18:00:00Z,6
Diego Llorente,DEF,Leeds,Aston Villa,90,0,0,1,0,19,0,0,0,0,0,0,4.7,18.8,10.7,17.0,True,2021-02-27T17:30:00Z,2
Diego Llorente,DEF,Leeds,West Ham,90,0,0,2,0,18,0,0,0,0,0,0,5.0,17.8,13.7,18.0,False,2021-03-08T20:00:00Z,1
