name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Gaetano Berardi,DEF,Leeds,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-03-08T20:00:00Z,0
Gaetano Berardi,DEF,Leeds,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-03-13T12:30:00Z,0
Gaetano Berardi,DEF,Leeds,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-03-19T20:00:00Z,0
Gaetano Berardi,DEF,Leeds,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-04-03T14:00:00Z,0
Gaetano Berardi,DEF,Leeds,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-04-10T11:30:00Z,0
Gaetano Berardi,DEF,Leeds,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-04-19T19:00:00Z,0
Gaetano Berardi,DEF,Leeds,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-04-25T13:00:00Z,0
Gaetano Berardi,DEF,Leeds,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-05-01T14:00:00Z,0
Gaetano Berardi,DEF,Leeds,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-05-08T11:30:00Z,0
Gaetano Berardi,DEF,Leeds,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-05-15T11:30:00Z,0
Gaetano Berardi,DEF,Leeds,Southampton,45,0,0,0,0,5,0,0,0,0,0,0,0.4,3.8,0.1,0.0,False,2021-05-18T17:00:00Z,1
Gaetano Berardi,DEF,Leeds,West Brom,68,0,0,0,1,25,0,0,0,0,0,0,3.2,13.4,0.8,18.0,True,2021-05-23T15:00:00Z,7
