name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
João Pedro Cavaco Cancelo,DEF,Man City,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-09-21T19:15:00Z,0
João Pedro Cavaco Cancelo,DEF,Man City,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-09-27T15:30:00Z,0
João Pedro Cavaco Cancelo,DEF,Man City,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-10-03T16:30:00Z,0
João Pedro Cavaco Cancelo,DEF,Man City,Arsenal,90,0,0,0,1,28,1,0,0,0,0,0,7.2,27.2,38.8,6.0,True,2020-10-17T16:30:00Z,8
João Pedro Cavaco Cancelo,DEF,Man City,West Ham,90,0,1,1,0,22,0,0,0,0,0,0,7.0,27.8,25.9,16.0,False,2020-10-24T11:30:00Z,5
João Pedro Cavaco Cancelo,DEF,Man City,Sheffield Utd,90,0,0,0,1,29,0,0,0,0,0,0,9.3,31.0,55.7,6.0,False,2020-10-31T12:30:00Z,8
João Pedro Cavaco Cancelo,DEF,Man City,Liverpool,90,0,0,1,0,16,0,0,0,0,0,0,5.0,21.6,26.8,2.0,True,2020-11-08T16:30:00Z,3
João Pedro Cavaco Cancelo,DEF,Man City,Spurs,90,0,0,2,0,16,0,0,0,0,0,0,7.5,18.6,53.3,3.0,False,2020-11-21T17:30:00Z,1
João Pedro Cavaco Cancelo,DEF,Man City,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-11-28T15:00:00Z,0
João Pedro Cavaco Cancelo,DEF,Man City,Fulham,90,0,0,0,1,25,0,0,0,0,0,0,4.0,10.8,17.7,11.0,True,2020-12-05T15:00:00Z,6
João Pedro Cavaco Cancelo,DEF,Man City,Man Utd,90,0,0,0,1,23,0,0,0,0,0,0,3.4,12.4,17.9,4.0,False,2020-12-12T17:30:00Z,6
João Pedro Cavaco Cancelo,DEF,Man City,West Brom,90,0,0,1,0,7,1,0,0,0,0,0,8.2,18.4,30.5,33.0,True,2020-12-15T20:00:00Z,1
João Pedro Cavaco Cancelo,DEF,Man City,Southampton,90,0,0,0,1,27,0,0,0,0,0,0,4.1,20.0,11.8,9.0,False,2020-12-19T15:00:00Z,8
