name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Tyrone Mings,DEF,Aston Villa,Sheffield Utd,90,0,1,0,1,35,0,0,0,0,0,0,5.1,31.8,12.7,6.0,True,2020-09-21T17:00:00Z,10
Tyrone Mings,DEF,Aston Villa,Fulham,90,1,0,0,1,31,1,0,0,0,0,0,9.6,61.4,0.2,34.0,False,2020-09-28T16:45:00Z,12
Tyrone Mings,DEF,Aston Villa,Liverpool,90,0,0,2,0,16,0,0,0,0,0,0,2.7,24.2,0.3,2.0,True,2020-10-04T18:15:00Z,1
Tyrone Mings,DEF,Aston Villa,Leicester,90,0,0,0,1,26,0,0,0,0,0,0,2.1,18.4,0.5,2.0,False,2020-10-18T18:15:00Z,7
Tyrone Mings,DEF,Aston Villa,Leeds,90,0,0,3,0,11,1,0,0,0,0,0,2.2,11.4,10.6,0.0,True,2020-10-23T19:00:00Z,0
Tyrone Mings,DEF,Aston Villa,Southampton,90,1,0,4,0,25,0,0,0,0,0,0,10.1,46.0,0.8,54.0,True,2020-11-01T12:00:00Z,6
Tyrone Mings,DEF,Aston Villa,Arsenal,90,0,0,0,1,22,0,0,0,0,0,0,1.8,15.2,0.7,2.0,False,2020-11-08T19:15:00Z,6
Tyrone Mings,DEF,Aston Villa,Brighton,90,0,0,2,0,9,0,0,0,0,0,0,3.4,13.2,1.3,19.0,True,2020-11-21T15:00:00Z,1
Tyrone Mings,DEF,Aston Villa,West Ham,90,0,0,2,0,13,0,0,0,0,0,0,0.6,5.8,0.5,0.0,False,2020-11-30T20:00:00Z,1
Tyrone Mings,DEF,Aston Villa,Wolves,90,0,0,0,1,25,0,0,0,0,0,0,2.8,24.6,1.7,2.0,False,2020-12-12T12:30:00Z,8
Tyrone Mings,DEF,Aston Villa,Burnley,90,0,0,0,1,22,0,0,0,0,0,0,4.2,11.6,20.5,10.0,True,2020-12-17T18:00:00Z,6
Tyrone Mings,DEF,Aston Villa,West Brom,90,0,0,0,1,25,1,0,0,0,0,0,3.0,15.8,11.7,2.0,False,2020-12-20T19:15:00Z,5
Tyrone Mings,DEF,Aston Villa,Crystal Palace,44,0,0,0,0,-7,0,1,0,0,0,0,0.0,0.0,0.2,0.0,True,2020-12-26T15:00:00Z,-2
Tyrone Mings,DEF,Aston Villa,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-28T17:30:00Z,0
Tyrone Mings,DEF,Aston Villa,Man Utd,90,0,0,2,0,12,0,0,0,0,0,0,2.4,17.8,0.2,6.0,False,2021-01-01T20:00:00Z,1
Tyrone Mings,DEF,Aston Villa,Man City,90,0,0,2,0,13,0,0,0,0,0,0,4.1,40.6,0.1,0.0,False,2021-01-20T18:00:00Z,1
Tyrone Mings,DEF,Aston Villa,Newcastle,90,0,0,0,1,26,0,0,0,0,0,0,2.9,24.2,0.3,4.0,True,2021-01-23T20:00:00Z,6
Tyrone Mings,DEF,Aston Villa,Burnley,90,0,0,3,0,10,0,0,0,0,0,0,3.8,21.2,0.0,17.0,False,2021-01-27T18:00:00Z,1
Tyrone Mings,DEF,Aston Villa,Southampton,90,0,0,0,1,27,0,0,0,0,0,0,2.5,24.8,0.3,0.0,False,2021-01-30T20:00:00Z,7
Tyrone Mings,DEF,Aston Villa,West Ham,90,0,0,3,0,12,0,0,0,0,0,0,4.2,20.6,0.9,20.0,True,2021-02-03T20:15:00Z,1
Tyrone Mings,DEF,Aston Villa,Arsenal,90,0,0,0,1,22,0,0,0,0,0,0,2.3,22.6,0.3,0.0,True,2021-02-06T12:30:00Z,6
Tyrone Mings,DEF,Aston Villa,Brighton,90,0,0,0,1,26,0,0,0,0,0,0,3.2,30.0,0.3,2.0,False,2021-02-13T20:00:00Z,6
Tyrone Mings,DEF,Aston Villa,Leicester,90,0,0,2,0,12,0,0,0,0,0,0,2.2,17.0,1.0,4.0,True,2021-02-21T14:05:00Z,1
Tyrone Mings,DEF,Aston Villa,Leeds,90,0,0,0,1,24,0,0,0,0,0,0,5.7,20.2,0.3,36.0,False,2021-02-27T17:30:00Z,7
Tyrone Mings,DEF,Aston Villa,Sheffield Utd,90,0,0,1,0,15,0,0,0,0,0,0,4.0,21.0,2.0,17.0,False,2021-03-03T18:00:00Z,2
Tyrone Mings,DEF,Aston Villa,Wolves,90,0,0,0,1,23,0,0,0,0,0,0,1.6,13.4,0.3,2.0,True,2021-03-06T17:30:00Z,7
Tyrone Mings,DEF,Aston Villa,Newcastle,90,0,0,1,0,7,1,0,0,0,0,0,2.2,21.4,0.2,0.0,False,2021-03-12T20:00:00Z,1
Tyrone Mings,DEF,Aston Villa,Spurs,90,0,0,2,0,16,0,0,0,0,0,0,2.6,25.2,0.3,0.0,True,2021-03-21T19:30:00Z,1
Tyrone Mings,DEF,Aston Villa,Fulham,90,0,1,1,0,17,0,0,0,0,0,0,4.3,27.6,15.3,0.0,True,2021-04-04T15:30:00Z,5
Tyrone Mings,DEF,Aston Villa,Liverpool,90,0,0,2,0,10,0,0,0,0,0,0,2.2,19.8,0.3,2.0,False,2021-04-10T14:00:00Z,1
Tyrone Mings,DEF,Aston Villa,Man City,90,0,0,2,0,15,0,0,0,0,0,0,3.0,27.2,0.7,2.0,True,2021-04-21T19:15:00Z,1
Tyrone Mings,DEF,Aston Villa,West Brom,90,0,0,2,0,6,0,0,1,0,0,0,6.2,10.2,11.7,40.0,True,2021-04-25T18:00:00Z,-1
Tyrone Mings,DEF,Aston Villa,Everton,90,0,0,1,0,19,0,0,0,0,0,0,3.7,35.0,0.4,2.0,False,2021-05-01T19:00:00Z,2
Tyrone Mings,DEF,Aston Villa,Man Utd,90,0,0,3,0,17,0,0,0,0,0,0,2.0,18.0,0.3,2.0,True,2021-05-09T13:05:00Z,1
Tyrone Mings,DEF,Aston Villa,Everton,90,0,0,0,1,24,0,0,0,0,0,0,1.8,13.4,0.3,4.0,True,2021-05-13T17:00:00Z,6
Tyrone Mings,DEF,Aston Villa,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-05-16T11:00:00Z,0
Tyrone Mings,DEF,Aston Villa,Spurs,90,0,0,1,0,10,0,0,0,0,0,0,2.2,21.4,0.1,0.0,False,2021-05-19T17:00:00Z,2
Tyrone Mings,DEF,Aston Villa,Chelsea,90,0,0,1,0,17,0,0,0,0,0,0,2.6,26.4,0.0,0.0,True,2021-05-23T15:00:00Z,2
