name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Chris Wood,FWD,Burnley,Leicester,90,1,0,4,0,24,0,0,0,0,0,0,8.2,37.2,1.1,44.0,False,2020-09-20T18:00:00Z,6
Chris Wood,FWD,Burnley,Southampton,90,0,0,1,0,2,0,0,0,0,0,0,2.9,1.2,3.1,25.0,True,2020-09-26T19:00:00Z,2
Chris Wood,FWD,Burnley,Newcastle,90,0,0,3,0,2,0,0,0,0,0,0,3.5,1.2,1.1,33.0,False,2020-10-03T19:00:00Z,2
Chris Wood,FWD,Burnley,West Brom,90,0,0,0,1,-8,0,0,0,0,0,0,3.6,0.0,2.5,39.0,False,2020-10-19T16:30:00Z,2
Chris Wood,FWD,Burnley,Spurs,90,0,0,1,0,3,0,0,0,0,0,0,5.3,6.6,13.8,33.0,True,2020-10-26T20:00:00Z,2
Chris Wood,FWD,Burnley,Chelsea,90,0,0,3,0,1,0,0,0,0,0,0,0.1,0.2,0.8,0.0,True,2020-10-31T15:00:00Z,2
Chris Wood,FWD,Burnley,Brighton,83,0,0,0,1,5,0,0,0,0,0,0,2.3,3.2,2.5,17.0,False,2020-11-06T17:30:00Z,2
Chris Wood,FWD,Burnley,Crystal Palace,90,1,0,0,1,26,0,0,0,0,0,0,12.2,43.8,22.7,55.0,True,2020-11-23T17:30:00Z,8
Chris Wood,FWD,Burnley,Man City,66,0,0,4,0,5,0,0,0,0,0,0,0.0,0.0,1.3,0.0,False,2020-11-28T15:00:00Z,2
Chris Wood,FWD,Burnley,Everton,90,0,0,1,0,1,0,0,0,0,0,0,8.3,9.8,14.9,58.0,True,2020-12-05T12:30:00Z,2
Chris Wood,FWD,Burnley,Arsenal,69,0,0,0,1,-1,0,0,0,0,0,0,1.4,0.0,11.8,4.0,False,2020-12-13T19:15:00Z,2
Chris Wood,FWD,Burnley,Aston Villa,81,0,0,0,1,4,0,0,0,0,0,0,2.0,1.4,1.3,17.0,False,2020-12-17T18:00:00Z,2
Chris Wood,FWD,Burnley,Wolves,90,1,0,1,0,32,0,0,0,0,0,0,12.0,47.8,14.1,58.0,True,2020-12-21T17:30:00Z,9
Chris Wood,FWD,Burnley,Leeds,90,0,0,1,0,1,0,0,0,0,0,0,9.0,8.8,37.3,44.0,False,2020-12-27T12:00:00Z,2
Chris Wood,FWD,Burnley,Sheffield Utd,90,0,0,0,1,1,0,0,0,0,0,0,3.6,4.4,12.5,19.0,True,2020-12-29T18:00:00Z,2
Chris Wood,FWD,Burnley,Man Utd,79,0,0,1,0,4,0,0,0,0,0,0,3.7,1.6,15.1,20.0,True,2021-01-12T20:15:00Z,2
Chris Wood,FWD,Burnley,West Ham,71,0,0,1,0,5,0,0,0,0,0,0,1.5,3.2,4.3,7.0,False,2021-01-16T15:00:00Z,2
Chris Wood,FWD,Burnley,Liverpool,90,0,0,0,1,4,0,0,0,0,0,0,1.9,2.0,13.3,4.0,False,2021-01-21T20:00:00Z,2
Chris Wood,FWD,Burnley,Aston Villa,90,1,0,2,0,32,0,0,0,0,0,0,7.7,40.4,2.5,34.0,True,2021-01-27T18:00:00Z,8
Chris Wood,FWD,Burnley,Chelsea,61,0,0,1,0,3,0,0,0,0,0,0,0.5,0.0,1.8,4.0,False,2021-01-31T12:00:00Z,2
Chris Wood,FWD,Burnley,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-02-03T18:00:00Z,0
Chris Wood,FWD,Burnley,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-02-06T15:00:00Z,0
Chris Wood,FWD,Burnley,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-02-13T15:00:00Z,0
Chris Wood,FWD,Burnley,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-02-17T18:00:00Z,0
Chris Wood,FWD,Burnley,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-02-20T15:00:00Z,0
Chris Wood,FWD,Burnley,Spurs,17,0,0,0,0,2,0,0,0,0,0,0,0.2,0.0,0.5,2.0,False,2021-02-28T14:00:00Z,1
Chris Wood,FWD,Burnley,Leicester,90,0,0,1,0,1,0,0,0,0,0,0,6.2,12.4,3.0,47.0,True,2021-03-03T18:00:00Z,2
Chris Wood,FWD,Burnley,Arsenal,90,1,0,1,0,24,0,0,0,0,0,0,9.6,44.4,4.2,47.0,True,2021-03-06T12:30:00Z,9
Chris Wood,FWD,Burnley,Everton,90,1,0,1,0,30,0,0,0,0,0,0,7.3,37.2,4.3,31.0,False,2021-03-13T17:30:00Z,8
Chris Wood,FWD,Burnley,Southampton,90,1,1,3,0,34,0,0,0,0,0,0,16.0,58.4,13.3,88.0,False,2021-04-04T11:00:00Z,10
Chris Wood,FWD,Burnley,Newcastle,90,0,1,2,0,16,0,0,0,0,0,0,8.5,17.0,24.2,44.0,True,2021-04-11T11:00:00Z,5
Chris Wood,FWD,Burnley,Man Utd,90,0,0,3,0,-5,0,0,0,0,0,0,5.5,0.6,15.3,39.0,False,2021-04-18T15:00:00Z,2
Chris Wood,FWD,Burnley,Wolves,90,3,1,0,1,92,0,0,0,0,0,0,27.9,133.8,23.8,121.0,False,2021-04-25T11:00:00Z,20
Chris Wood,FWD,Burnley,West Ham,85,1,0,2,0,27,0,0,0,0,0,0,6.5,33.2,4.5,27.0,True,2021-05-03T19:15:00Z,6
Chris Wood,FWD,Burnley,Fulham,85,1,0,0,1,22,0,0,0,0,0,0,13.6,40.0,22.2,74.0,False,2021-05-10T19:00:00Z,6
Chris Wood,FWD,Burnley,Leeds,64,0,0,2,0,3,0,0,0,0,0,0,1.1,0.4,5.7,5.0,True,2021-05-15T11:30:00Z,2
Chris Wood,FWD,Burnley,Liverpool,90,0,0,3,0,-1,0,0,0,0,0,0,7.3,5.0,22.8,45.0,True,2021-05-19T19:15:00Z,2
Chris Wood,FWD,Burnley,Sheffield Utd,90,0,0,1,0,4,0,0,0,0,0,0,4.6,0.6,1.6,44.0,False,2021-05-23T15:00:00Z,2
