name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Hal Robson-Kanu,FWD,West Brom,Leicester,30,0,0,2,0,3,0,0,0,0,0,0,0.3,2.0,0.1,1.0,True,2020-09-13T13:00:00Z,1
Hal Robson-Kanu,FWD,West Brom,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-09-19T11:30:00Z,0
Hal Robson-Kanu,FWD,West Brom,Chelsea,24,0,0,2,0,3,0,0,0,0,0,0,2.0,1.2,10.6,8.0,True,2020-09-26T16:30:00Z,1
Hal Robson-Kanu,FWD,West Brom,Southampton,30,0,0,1,0,0,0,0,0,0,0,0,1.1,4.0,0.0,7.0,False,2020-10-04T11:00:00Z,1
Hal Robson-Kanu,FWD,West Brom,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-10-19T16:30:00Z,0
Hal Robson-Kanu,FWD,West Brom,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-10-26T17:30:00Z,0
Hal Robson-Kanu,FWD,West Brom,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-11-02T17:30:00Z,0
Hal Robson-Kanu,FWD,West Brom,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-11-08T12:00:00Z,0
Hal Robson-Kanu,FWD,West Brom,Man Utd,28,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.1,0.0,False,2020-11-21T20:00:00Z,1
Hal Robson-Kanu,FWD,West Brom,Sheffield Utd,25,0,0,0,0,-1,0,0,0,0,0,0,1.4,4.2,0.8,9.0,True,2020-11-28T20:00:00Z,1
Hal Robson-Kanu,FWD,West Brom,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-06T12:00:00Z,0
Hal Robson-Kanu,FWD,West Brom,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-12T15:00:00Z,0
Hal Robson-Kanu,FWD,West Brom,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-15T20:00:00Z,0
Hal Robson-Kanu,FWD,West Brom,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-20T19:15:00Z,0
Hal Robson-Kanu,FWD,West Brom,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-27T16:30:00Z,0
Hal Robson-Kanu,FWD,West Brom,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-29T18:00:00Z,0
Hal Robson-Kanu,FWD,West Brom,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-02T20:00:00Z,0
Hal Robson-Kanu,FWD,West Brom,Wolves,21,0,0,0,0,-2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-16T12:30:00Z,1
Hal Robson-Kanu,FWD,West Brom,West Ham,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-19T18:00:00Z,1
Hal Robson-Kanu,FWD,West Brom,Man City,26,0,0,0,0,-4,1,0,0,0,0,0,0.0,0.0,0.3,0.0,True,2021-01-26T20:15:00Z,0
Hal Robson-Kanu,FWD,West Brom,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-30T15:00:00Z,0
Hal Robson-Kanu,FWD,West Brom,Sheffield Utd,22,0,0,1,0,1,0,0,0,0,0,0,0.4,0.0,0.3,4.0,False,2021-02-02T18:00:00Z,1
Hal Robson-Kanu,FWD,West Brom,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-02-07T12:00:00Z,0
Hal Robson-Kanu,FWD,West Brom,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-02-14T14:00:00Z,0
Hal Robson-Kanu,FWD,West Brom,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-02-20T15:00:00Z,0
