name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Jordan Ayew,FWD,Crystal Palace,Southampton,90,0,0,0,1,-7,0,0,0,0,0,0,2.9,9.2,0.8,19.0,True,2020-09-12T14:00:00Z,2
Jordan Ayew,FWD,Crystal Palace,Man Utd,80,0,1,1,0,13,0,0,0,0,0,0,4.9,7.2,0.3,41.0,False,2020-09-19T16:30:00Z,5
Jordan Ayew,FWD,Crystal Palace,Everton,81,0,0,2,0,3,0,0,0,0,0,0,1.0,6.0,2.2,2.0,True,2020-09-26T14:00:00Z,2
Jordan Ayew,FWD,Crystal Palace,Chelsea,90,0,0,4,0,5,0,0,0,0,0,0,1.5,4.6,2.8,8.0,False,2020-10-03T11:30:00Z,2
Jordan Ayew,FWD,Crystal Palace,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-10-18T13:00:00Z,0
Jordan Ayew,FWD,Crystal Palace,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-10-24T14:00:00Z,0
Jordan Ayew,FWD,Crystal Palace,Wolves,18,0,0,0,0,2,0,0,0,0,0,0,0.4,1.0,0.9,2.0,False,2020-10-30T20:00:00Z,1
Jordan Ayew,FWD,Crystal Palace,Leeds,84,1,0,1,0,32,0,0,0,0,0,0,8.6,37.8,13.2,35.0,True,2020-11-07T15:00:00Z,8
Jordan Ayew,FWD,Crystal Palace,Burnley,76,0,0,1,0,8,0,0,0,0,0,0,3.1,5.2,2.4,23.0,False,2020-11-23T17:30:00Z,2
Jordan Ayew,FWD,Crystal Palace,Newcastle,65,0,0,0,1,6,0,0,0,0,0,0,2.0,0.8,15.1,4.0,True,2020-11-27T20:00:00Z,2
Jordan Ayew,FWD,Crystal Palace,West Brom,16,0,0,0,0,5,0,0,0,0,0,0,0.6,4.0,1.7,0.0,False,2020-12-06T12:00:00Z,1
