name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Adrián San Miguel del Castillo,GK,Liverpool,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-09-12T16:30:00Z,0
Adrián San Miguel del Castillo,GK,Liverpool,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-09-20T15:30:00Z,0
Adrián San Miguel del Castillo,GK,Liverpool,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-09-28T19:00:00Z,0
Adrián San Miguel del Castillo,GK,Liverpool,Aston Villa,90,0,0,7,0,14,0,0,0,4,0,0,2.3,23.0,0.0,0.0,False,2020-10-04T18:15:00Z,0
Adrián San Miguel del Castillo,GK,Liverpool,Everton,90,0,0,2,0,14,0,0,0,3,0,0,1.9,19.2,0.0,0.0,False,2020-10-17T11:30:00Z,2
Adrián San Miguel del Castillo,GK,Liverpool,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-10-24T19:00:00Z,0
Adrián San Miguel del Castillo,GK,Liverpool,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-10-31T17:30:00Z,0
Adrián San Miguel del Castillo,GK,Liverpool,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-11-08T16:30:00Z,0
Adrián San Miguel del Castillo,GK,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-11-22T19:15:00Z,0
Adrián San Miguel del Castillo,GK,Liverpool,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-11-28T12:30:00Z,0
Adrián San Miguel del Castillo,GK,Liverpool,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-06T19:15:00Z,0
Adrián San Miguel del Castillo,GK,Liverpool,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-13T16:30:00Z,0
Adrián San Miguel del Castillo,GK,Liverpool,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-16T20:00:00Z,0
Adrián San Miguel del Castillo,GK,Liverpool,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-19T12:30:00Z,0
Adrián San Miguel del Castillo,GK,Liverpool,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-27T16:30:00Z,0
Adrián San Miguel del Castillo,GK,Liverpool,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-30T20:00:00Z,0
Adrián San Miguel del Castillo,GK,Liverpool,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-04T20:00:00Z,0
Adrián San Miguel del Castillo,GK,Liverpool,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-17T16:30:00Z,0
