name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Edouard Mendy,GK,Chelsea,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-09-26T16:30:00Z,0
Edouard Mendy,GK,Chelsea,Crystal Palace,90,0,0,0,1,20,0,0,0,0,0,0,0.5,5.0,0.0,0.0,True,2020-10-03T11:30:00Z,6
Edouard Mendy,GK,Chelsea,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-10-17T14:00:00Z,0
Edouard Mendy,GK,Chelsea,Man Utd,90,0,0,0,1,27,0,0,0,4,0,0,1.9,18.8,0.0,0.0,False,2020-10-24T16:30:00Z,7
Edouard Mendy,GK,Chelsea,Burnley,90,0,0,0,1,19,0,0,0,0,0,0,0.3,3.4,0.0,0.0,False,2020-10-31T15:00:00Z,6
Edouard Mendy,GK,Chelsea,Sheffield Utd,90,0,0,1,0,18,0,0,0,2,0,0,1.7,16.6,0.0,0.0,True,2020-11-07T17:30:00Z,2
Edouard Mendy,GK,Chelsea,Newcastle,90,0,0,0,1,26,0,0,0,1,0,0,1.4,13.8,0.0,0.0,False,2020-11-21T12:30:00Z,6
Edouard Mendy,GK,Chelsea,Spurs,90,0,0,0,1,22,0,0,0,1,0,0,0.9,9.2,0.0,0.0,True,2020-11-29T16:30:00Z,6
Edouard Mendy,GK,Chelsea,Leeds,90,0,0,1,0,9,0,0,0,2,0,0,0.7,6.8,0.0,0.0,True,2020-12-05T20:00:00Z,2
Edouard Mendy,GK,Chelsea,Everton,90,0,0,1,0,14,0,0,0,3,0,0,2.5,24.8,0.0,0.0,False,2020-12-12T20:00:00Z,3
Edouard Mendy,GK,Chelsea,Wolves,90,0,0,2,0,12,0,0,0,2,0,0,1.2,11.6,0.0,0.0,False,2020-12-15T18:00:00Z,1
Edouard Mendy,GK,Chelsea,West Ham,90,0,0,0,1,20,0,0,0,0,0,0,0.4,3.6,0.0,0.0,True,2020-12-21T20:00:00Z,6
Edouard Mendy,GK,Chelsea,Arsenal,90,0,0,3,0,17,0,0,0,4,0,0,3.4,33.6,0.0,0.0,False,2020-12-26T17:30:00Z,2
Edouard Mendy,GK,Chelsea,Aston Villa,90,0,0,1,0,14,0,0,0,1,0,0,1.4,14.2,0.0,0.0,True,2020-12-28T17:30:00Z,2
Edouard Mendy,GK,Chelsea,Man City,90,0,0,3,0,20,0,0,0,3,0,0,2.4,24.4,0.0,0.0,True,2021-01-03T16:30:00Z,2
Edouard Mendy,GK,Chelsea,Fulham,90,0,0,0,1,22,0,0,0,2,0,0,1.2,12.0,0.0,0.0,False,2021-01-16T17:30:00Z,6
Edouard Mendy,GK,Chelsea,Leicester,90,0,0,2,0,22,0,0,0,4,0,0,3.4,33.6,0.0,0.0,False,2021-01-19T20:15:00Z,2
Edouard Mendy,GK,Chelsea,Wolves,90,0,0,0,1,19,0,0,0,0,0,0,0.4,3.8,0.0,0.0,True,2021-01-27T18:00:00Z,6
Edouard Mendy,GK,Chelsea,Burnley,90,0,0,0,1,20,0,0,0,0,0,0,0.2,2.4,0.0,0.0,True,2021-01-31T12:00:00Z,6
Edouard Mendy,GK,Chelsea,Spurs,90,0,0,0,1,24,0,0,0,2,0,0,1.3,12.6,0.0,0.0,False,2021-02-04T20:00:00Z,6
Edouard Mendy,GK,Chelsea,Sheffield Utd,90,0,0,1,0,18,0,0,0,3,0,0,2.3,22.8,0.0,0.0,False,2021-02-07T19:15:00Z,3
Edouard Mendy,GK,Chelsea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-02-15T20:00:00Z,0
Edouard Mendy,GK,Chelsea,Southampton,90,0,0,1,0,14,0,0,0,0,0,0,0.6,6.4,0.0,0.0,False,2021-02-20T12:30:00Z,2
Edouard Mendy,GK,Chelsea,Man Utd,90,0,0,0,1,33,0,0,0,4,0,0,2.9,28.8,0.0,0.0,True,2021-02-28T16:30:00Z,10
Edouard Mendy,GK,Chelsea,Liverpool,90,0,0,0,1,25,0,0,0,1,0,0,1.2,12.0,0.0,0.0,False,2021-03-04T20:15:00Z,6
Edouard Mendy,GK,Chelsea,Everton,90,0,0,0,1,27,0,0,0,1,0,0,0.9,9.4,0.0,0.0,True,2021-03-08T18:00:00Z,6
Edouard Mendy,GK,Chelsea,Leeds,90,0,0,0,1,35,0,0,0,4,0,0,3.3,33.4,0.0,0.0,False,2021-03-13T12:30:00Z,9
Edouard Mendy,GK,Chelsea,West Brom,90,0,0,5,0,12,0,0,0,2,0,0,1.6,16.4,0.0,0.0,True,2021-04-03T11:30:00Z,0
Edouard Mendy,GK,Chelsea,Crystal Palace,90,0,0,1,0,6,0,0,0,0,0,0,0.2,1.8,0.0,0.0,False,2021-04-10T16:30:00Z,2
Edouard Mendy,GK,Chelsea,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-04-20T19:15:00Z,0
Edouard Mendy,GK,Chelsea,West Ham,90,0,0,0,1,21,1,0,0,2,0,0,0.9,9.4,0.0,0.0,False,2021-04-24T16:30:00Z,5
Edouard Mendy,GK,Chelsea,Fulham,90,0,0,0,1,26,0,0,0,3,0,0,2.0,19.6,0.0,0.0,True,2021-05-01T16:30:00Z,7
Edouard Mendy,GK,Chelsea,Man City,90,0,0,1,0,36,0,0,0,3,0,1,4.1,40.8,0.0,0.0,False,2021-05-08T16:30:00Z,11
Edouard Mendy,GK,Chelsea,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-05-12T19:15:00Z,0
