name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Ashley Westwood,MID,Burnley,Leicester,90,0,0,4,0,12,0,0,0,0,0,0,3.3,7.6,25.3,0.0,False,2020-09-20T18:00:00Z,2
Ashley Westwood,MID,Burnley,Southampton,90,0,0,1,0,12,0,0,0,0,0,0,3.5,9.8,24.9,0.0,True,2020-09-26T19:00:00Z,2
Ashley Westwood,MID,Burnley,Newcastle,90,1,0,3,0,33,0,0,0,0,0,0,6.3,42.2,3.7,17.0,False,2020-10-03T19:00:00Z,8
Ashley Westwood,MID,Burnley,West Brom,90,0,0,0,1,12,1,0,0,0,0,0,3.3,13.2,17.5,2.0,False,2020-10-19T16:30:00Z,2
Ashley Westwood,MID,Burnley,Spurs,90,0,0,1,0,17,0,0,0,0,0,0,8.3,17.2,50.9,15.0,True,2020-10-26T20:00:00Z,2
Ashley Westwood,MID,Burnley,Chelsea,90,0,0,3,0,14,0,0,0,0,0,0,1.1,8.4,3.0,0.0,True,2020-10-31T15:00:00Z,2
Ashley Westwood,MID,Burnley,Brighton,90,0,0,0,1,11,0,0,0,0,0,0,1.5,11.0,2.1,2.0,False,2020-11-06T17:30:00Z,3
Ashley Westwood,MID,Burnley,Crystal Palace,90,0,0,0,1,10,0,0,0,0,0,0,2.9,9.0,3.2,17.0,True,2020-11-23T17:30:00Z,3
Ashley Westwood,MID,Burnley,Man City,90,0,0,5,0,16,0,0,0,0,0,0,6.4,13.2,48.9,2.0,False,2020-11-28T15:00:00Z,2
Ashley Westwood,MID,Burnley,Everton,90,0,1,1,0,27,0,0,0,0,0,0,4.3,26.2,16.4,0.0,True,2020-12-05T12:30:00Z,6
Ashley Westwood,MID,Burnley,Arsenal,90,0,1,0,1,21,0,0,0,0,0,0,5.5,9.0,44.7,1.0,False,2020-12-13T19:15:00Z,6
Ashley Westwood,MID,Burnley,Aston Villa,90,0,0,0,1,14,0,0,0,0,0,0,2.6,7.8,12.1,6.0,False,2020-12-17T18:00:00Z,3
Ashley Westwood,MID,Burnley,Wolves,90,0,0,1,0,8,1,0,0,0,0,0,2.0,8.6,11.7,0.0,True,2020-12-21T17:30:00Z,1
Ashley Westwood,MID,Burnley,Leeds,90,0,0,1,0,20,1,0,0,0,0,0,10.1,18.8,72.4,10.0,False,2020-12-27T12:00:00Z,1
Ashley Westwood,MID,Burnley,Sheffield Utd,90,0,0,0,1,12,0,0,0,0,0,0,1.4,5.2,6.9,2.0,True,2020-12-29T18:00:00Z,3
Ashley Westwood,MID,Burnley,Man Utd,90,0,0,1,0,7,1,0,0,0,0,0,0.5,4.0,1.3,0.0,True,2021-01-12T20:15:00Z,1
Ashley Westwood,MID,Burnley,West Ham,90,0,0,1,0,11,0,0,0,0,0,0,3.4,12.2,21.8,0.0,False,2021-01-16T15:00:00Z,2
