name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Lucas Rodrigues Moura da Silva,MID,Spurs,Everton,90,0,0,1,0,-1,0,0,0,0,0,0,4.4,2.8,5.8,35.0,True,2020-09-13T15:30:00Z,2
Lucas Rodrigues Moura da Silva,MID,Spurs,Southampton,60,0,0,1,0,4,0,0,0,0,0,0,0.0,0.0,0.1,0.0,False,2020-09-20T11:00:00Z,2
Lucas Rodrigues Moura da Silva,MID,Spurs,Newcastle,78,1,0,0,1,26,0,0,0,0,0,0,14.1,39.4,19.9,82.0,True,2020-09-27T13:00:00Z,9
Lucas Rodrigues Moura da Silva,MID,Spurs,Man Utd,45,0,0,0,0,-2,0,0,0,0,0,0,0.3,0.0,3.2,0.0,False,2020-10-04T15:30:00Z,1
Lucas Rodrigues Moura da Silva,MID,Spurs,West Ham,10,0,0,3,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-10-18T15:30:00Z,1
Lucas Rodrigues Moura da Silva,MID,Spurs,Burnley,56,0,0,0,0,1,0,0,0,0,0,0,1.7,1.4,11.7,4.0,False,2020-10-26T20:00:00Z,1
Lucas Rodrigues Moura da Silva,MID,Spurs,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-11-01T19:15:00Z,0
Lucas Rodrigues Moura da Silva,MID,Spurs,West Brom,12,0,0,0,0,4,0,0,0,0,0,0,0.6,5.4,0.8,0.0,False,2020-11-08T12:00:00Z,1
Lucas Rodrigues Moura da Silva,MID,Spurs,Man City,17,0,0,0,0,2,0,0,0,0,0,0,0.4,3.2,1.1,0.0,True,2020-11-21T17:30:00Z,1
Lucas Rodrigues Moura da Silva,MID,Spurs,Chelsea,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.3,0.0,False,2020-11-29T16:30:00Z,1
Lucas Rodrigues Moura da Silva,MID,Spurs,Arsenal,2,0,0,0,0,2,0,0,0,0,0,0,0.4,4.2,0.0,0.0,True,2020-12-06T16:30:00Z,1
Lucas Rodrigues Moura da Silva,MID,Spurs,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-13T14:15:00Z,0
Lucas Rodrigues Moura da Silva,MID,Spurs,Liverpool,32,0,0,1,0,6,0,0,0,0,0,0,0.6,5.8,0.5,0.0,False,2020-12-16T20:00:00Z,1
Lucas Rodrigues Moura da Silva,MID,Spurs,Leicester,41,0,0,1,0,5,0,0,0,0,0,0,2.2,10.2,7.5,4.0,True,2020-12-20T14:15:00Z,1
Lucas Rodrigues Moura da Silva,MID,Spurs,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-27T19:15:00Z,0
Lucas Rodrigues Moura da Silva,MID,Spurs,Leeds,12,0,0,0,0,3,0,0,0,0,0,0,0.4,2.4,1.7,0.0,True,2021-01-02T12:30:00Z,1
Lucas Rodrigues Moura da Silva,MID,Spurs,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-13T20:15:00Z,0
Lucas Rodrigues Moura da Silva,MID,Spurs,Sheffield Utd,3,0,0,0,0,4,0,0,0,0,0,0,0.5,2.4,3.0,0.0,False,2021-01-17T14:00:00Z,1
Lucas Rodrigues Moura da Silva,MID,Spurs,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-28T20:00:00Z,0
Lucas Rodrigues Moura da Silva,MID,Spurs,Brighton,29,0,0,0,0,0,0,0,0,0,0,0,2.4,2.2,1.8,20.0,False,2021-01-31T19:15:00Z,1
Lucas Rodrigues Moura da Silva,MID,Spurs,Chelsea,21,0,0,0,0,4,0,0,0,0,0,0,0.8,2.8,2.3,3.0,True,2021-02-04T20:00:00Z,1
Lucas Rodrigues Moura da Silva,MID,Spurs,West Brom,90,0,1,0,1,18,0,0,0,0,0,0,5.1,20.8,23.9,6.0,True,2021-02-07T12:00:00Z,6
Lucas Rodrigues Moura da Silva,MID,Spurs,Man City,45,0,0,1,0,2,0,0,0,0,0,0,0.2,0.0,0.4,2.0,False,2021-02-13T17:30:00Z,1
Lucas Rodrigues Moura da Silva,MID,Spurs,West Ham,90,1,0,2,0,20,0,0,0,0,0,0,9.5,43.6,12.6,39.0,False,2021-02-21T12:00:00Z,8
Lucas Rodrigues Moura da Silva,MID,Spurs,Burnley,65,1,0,0,1,27,0,0,0,0,0,0,8.7,42.2,4.4,40.0,True,2021-02-28T14:00:00Z,8
Lucas Rodrigues Moura da Silva,MID,Spurs,Fulham,23,0,0,0,0,2,0,0,0,0,0,0,0.3,0.0,0.3,4.0,False,2021-03-04T18:00:00Z,1
Lucas Rodrigues Moura da Silva,MID,Spurs,Crystal Palace,90,0,0,1,0,12,0,0,0,0,0,0,2.6,14.0,5.8,6.0,True,2021-03-07T19:15:00Z,2
Lucas Rodrigues Moura da Silva,MID,Spurs,Arsenal,90,0,1,2,0,20,0,0,0,0,0,0,6.1,30.4,28.6,2.0,False,2021-03-14T16:30:00Z,5
Lucas Rodrigues Moura da Silva,MID,Spurs,Aston Villa,90,0,1,0,1,30,0,0,0,0,0,0,10.2,40.6,55.2,6.0,False,2021-03-21T19:30:00Z,9
Lucas Rodrigues Moura da Silva,MID,Spurs,Newcastle,63,0,0,1,0,7,0,0,0,0,0,0,0.9,5.6,2.9,0.0,False,2021-04-04T13:05:00Z,2
Lucas Rodrigues Moura da Silva,MID,Spurs,Man Utd,81,0,1,2,0,15,0,0,0,0,0,0,5.7,25.8,11.1,20.0,True,2021-04-11T15:30:00Z,5
Lucas Rodrigues Moura da Silva,MID,Spurs,Everton,26,0,0,0,0,6,0,0,0,0,0,0,3.4,6.2,27.7,0.0,False,2021-04-16T19:00:00Z,1
Lucas Rodrigues Moura da Silva,MID,Spurs,Southampton,90,0,1,1,0,10,0,0,0,0,0,0,4.5,7.4,12.5,25.0,True,2021-04-21T17:00:00Z,5
Lucas Rodrigues Moura da Silva,MID,Spurs,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-05-02T18:15:00Z,0
Lucas Rodrigues Moura da Silva,MID,Spurs,Leeds,23,0,0,1,0,0,1,0,0,0,0,0,1.2,0.8,11.2,0.0,False,2021-05-08T11:30:00Z,0
Lucas Rodrigues Moura da Silva,MID,Spurs,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-05-16T13:05:00Z,0
Lucas Rodrigues Moura da Silva,MID,Spurs,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-05-19T17:00:00Z,0
Lucas Rodrigues Moura da Silva,MID,Spurs,Leicester,22,0,0,0,0,5,0,0,0,0,0,0,0.5,2.8,2.1,0.0,False,2021-05-23T15:00:00Z,1
