name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Sander Berge,MID,Sheffield Utd,Wolves,14,0,0,0,0,7,0,0,0,0,0,0,2.7,8.6,18.0,0.0,True,2020-09-14T17:00:00Z,1
Sander Berge,MID,Sheffield Utd,Aston Villa,90,0,0,1,0,10,0,0,0,0,0,0,3.5,8.0,0.7,26.0,False,2020-09-21T17:00:00Z,2
Sander Berge,MID,Sheffield Utd,Leeds,90,0,0,1,0,10,0,0,0,0,0,0,3.8,12.0,22.4,4.0,True,2020-09-27T11:00:00Z,2
Sander Berge,MID,Sheffield Utd,Arsenal,90,0,0,2,0,8,1,0,0,0,0,0,1.7,10.4,4.6,2.0,False,2020-10-04T13:00:00Z,1
Sander Berge,MID,Sheffield Utd,Fulham,90,0,0,1,0,10,0,0,0,0,0,0,3.6,11.2,13.4,11.0,True,2020-10-18T11:00:00Z,2
Sander Berge,MID,Sheffield Utd,Liverpool,90,1,0,2,0,30,1,0,0,0,0,0,10.5,48.8,25.4,31.0,False,2020-10-24T19:00:00Z,7
Sander Berge,MID,Sheffield Utd,Man City,90,0,0,1,0,11,0,0,0,0,0,0,4.9,11.0,16.3,22.0,True,2020-10-31T12:30:00Z,2
Sander Berge,MID,Sheffield Utd,Chelsea,90,0,1,4,0,20,1,0,0,0,0,0,3.9,20.6,12.8,6.0,False,2020-11-07T17:30:00Z,4
Sander Berge,MID,Sheffield Utd,West Ham,90,0,0,1,0,12,0,0,0,0,0,0,3.7,17.8,15.3,4.0,True,2020-11-22T14:00:00Z,2
Sander Berge,MID,Sheffield Utd,West Brom,90,0,0,1,0,15,1,0,0,0,0,0,5.3,18.2,25.2,10.0,False,2020-11-28T20:00:00Z,1
Sander Berge,MID,Sheffield Utd,Leicester,90,0,0,2,0,9,0,0,0,0,0,0,2.3,9.0,12.3,2.0,True,2020-12-06T14:15:00Z,2
Sander Berge,MID,Sheffield Utd,Southampton,90,0,0,3,0,4,0,0,0,0,0,0,1.1,0.2,2.3,8.0,False,2020-12-13T12:00:00Z,2
Sander Berge,MID,Sheffield Utd,Man Utd,11,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.2,0.0,True,2020-12-17T20:00:00Z,1
Sander Berge,MID,Sheffield Utd,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-20T12:00:00Z,0
Sander Berge,MID,Sheffield Utd,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-26T20:00:00Z,0
Sander Berge,MID,Sheffield Utd,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-29T18:00:00Z,0
Sander Berge,MID,Sheffield Utd,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-02T15:00:00Z,0
Sander Berge,MID,Sheffield Utd,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-12T18:00:00Z,0
Sander Berge,MID,Sheffield Utd,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-17T14:00:00Z,0
