name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Aaron Wan-Bissaka,DEF,Man Utd,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-09-19T16:30:00Z,0
Aaron Wan-Bissaka,DEF,Man Utd,Brighton,90,0,0,2,0,14,0,0,0,0,0,0,1.7,16.2,1.2,0.0,False,2020-09-26T11:30:00Z,1
Aaron Wan-Bissaka,DEF,Man Utd,Spurs,90,0,0,6,0,13,0,0,0,0,0,0,3.2,27.0,3.1,2.0,True,2020-10-04T15:30:00Z,-1
Aaron Wan-Bissaka,DEF,Man Utd,Newcastle,90,1,0,1,0,26,0,0,0,0,0,0,11.8,52.2,23.8,42.0,False,2020-10-17T19:00:00Z,8
Aaron Wan-Bissaka,DEF,Man Utd,Chelsea,90,0,0,0,1,28,0,0,0,0,0,0,2.1,17.0,4.2,0.0,True,2020-10-24T16:30:00Z,6
Aaron Wan-Bissaka,DEF,Man Utd,Arsenal,90,0,0,1,0,8,0,0,0,0,0,0,1.1,3.8,3.3,4.0,True,2020-11-01T16:30:00Z,2
Aaron Wan-Bissaka,DEF,Man Utd,Everton,90,0,0,1,0,6,0,0,0,0,0,0,1.3,11.6,1.6,0.0,False,2020-11-07T12:30:00Z,2
Aaron Wan-Bissaka,DEF,Man Utd,West Brom,90,0,0,0,1,31,0,0,0,0,0,0,3.4,17.4,14.8,2.0,True,2020-11-21T20:00:00Z,8
Aaron Wan-Bissaka,DEF,Man Utd,Southampton,90,0,0,2,0,15,0,0,0,0,0,0,3.5,18.8,16.4,0.0,False,2020-11-29T14:00:00Z,1
Aaron Wan-Bissaka,DEF,Man Utd,West Ham,90,0,0,1,0,24,0,0,0,0,0,0,4.3,30.6,12.6,0.0,False,2020-12-05T17:30:00Z,2
Aaron Wan-Bissaka,DEF,Man Utd,Man City,90,0,0,0,1,25,0,0,0,0,0,0,2.2,20.8,1.0,0.0,True,2020-12-12T17:30:00Z,6
Aaron Wan-Bissaka,DEF,Man Utd,Sheffield Utd,90,0,0,2,0,10,0,0,0,0,0,0,2.1,16.0,3.1,2.0,False,2020-12-17T20:00:00Z,1
Aaron Wan-Bissaka,DEF,Man Utd,Leeds,90,0,0,2,0,11,0,0,0,0,0,0,3.5,34.8,0.4,0.0,True,2020-12-20T16:30:00Z,1
Aaron Wan-Bissaka,DEF,Man Utd,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-26T12:30:00Z,0
Aaron Wan-Bissaka,DEF,Man Utd,Wolves,90,0,0,0,1,24,0,0,0,0,0,0,1.6,10.4,6.0,0.0,True,2020-12-29T20:00:00Z,6
Aaron Wan-Bissaka,DEF,Man Utd,Aston Villa,90,0,1,1,0,31,0,0,0,0,0,0,7.2,43.8,26.2,2.0,True,2021-01-01T20:00:00Z,6
Aaron Wan-Bissaka,DEF,Man Utd,Burnley,90,0,0,0,1,24,0,0,0,0,0,0,3.6,22.0,13.5,0.0,False,2021-01-12T20:15:00Z,6
Aaron Wan-Bissaka,DEF,Man Utd,Liverpool,90,0,0,0,1,22,0,0,0,0,0,0,2.3,20.2,1.1,2.0,False,2021-01-17T16:30:00Z,6
Aaron Wan-Bissaka,DEF,Man Utd,Fulham,90,0,0,1,0,14,0,0,0,0,0,0,5.0,22.8,21.0,6.0,False,2021-01-20T20:15:00Z,2
Aaron Wan-Bissaka,DEF,Man Utd,Sheffield Utd,90,0,0,2,0,16,0,0,0,0,0,0,6.8,19.8,38.5,10.0,True,2021-01-27T20:15:00Z,1
Aaron Wan-Bissaka,DEF,Man Utd,Arsenal,90,0,0,0,1,32,1,0,0,0,0,0,6.2,27.2,28.3,6.0,False,2021-01-30T17:30:00Z,8
Aaron Wan-Bissaka,DEF,Man Utd,Southampton,90,1,1,0,1,53,0,0,0,0,0,0,8.9,45.4,6.4,37.0,True,2021-02-02T20:15:00Z,17
Aaron Wan-Bissaka,DEF,Man Utd,Everton,90,0,1,3,0,24,0,0,0,0,0,0,6.8,35.8,30.5,2.0,True,2021-02-06T20:00:00Z,4
Aaron Wan-Bissaka,DEF,Man Utd,West Brom,90,0,0,1,0,18,0,0,0,0,0,0,3.6,15.8,16.3,4.0,False,2021-02-14T14:00:00Z,2
Aaron Wan-Bissaka,DEF,Man Utd,Newcastle,90,0,0,1,0,8,0,0,0,0,0,0,0.9,5.4,3.0,1.0,True,2021-02-21T19:00:00Z,2
Aaron Wan-Bissaka,DEF,Man Utd,Chelsea,90,0,0,0,1,25,0,0,0,0,0,0,2.8,12.0,13.6,2.0,False,2021-02-28T16:30:00Z,6
Aaron Wan-Bissaka,DEF,Man Utd,Crystal Palace,90,0,0,0,1,24,0,0,0,0,0,0,2.3,13.4,9.3,0.0,False,2021-03-03T20:15:00Z,6
Aaron Wan-Bissaka,DEF,Man Utd,Man City,90,0,0,0,1,25,0,0,0,0,0,0,1.8,17.2,0.8,0.0,False,2021-03-07T16:30:00Z,6
Aaron Wan-Bissaka,DEF,Man Utd,West Ham,90,0,0,0,1,28,1,0,0,0,0,0,5.0,17.2,29.0,4.0,True,2021-03-14T19:15:00Z,5
Aaron Wan-Bissaka,DEF,Man Utd,Brighton,90,0,0,1,0,12,0,0,0,0,0,0,4.3,13.0,29.8,0.0,True,2021-04-04T18:30:00Z,2
Aaron Wan-Bissaka,DEF,Man Utd,Spurs,90,0,0,1,0,19,0,0,0,0,0,0,7.7,39.0,17.3,21.0,False,2021-04-11T15:30:00Z,2
Aaron Wan-Bissaka,DEF,Man Utd,Burnley,90,0,0,1,0,15,1,0,0,0,0,0,6.2,25.4,30.2,6.0,True,2021-04-18T15:00:00Z,1
Aaron Wan-Bissaka,DEF,Man Utd,Leeds,90,0,0,0,1,33,0,0,0,0,0,0,4.2,29.2,13.2,0.0,False,2021-04-25T13:00:00Z,9
Aaron Wan-Bissaka,DEF,Man Utd,Aston Villa,90,0,1,1,0,24,0,0,0,0,0,0,4.6,31.0,14.8,0.0,False,2021-05-09T13:05:00Z,5
Aaron Wan-Bissaka,DEF,Man Utd,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-05-11T17:00:00Z,0
Aaron Wan-Bissaka,DEF,Man Utd,Liverpool,90,0,1,4,0,32,0,0,0,0,0,0,6.9,35.4,31.4,2.0,True,2021-05-13T19:15:00Z,3
Aaron Wan-Bissaka,DEF,Man Utd,Fulham,90,0,0,1,0,15,0,0,0,0,0,0,5.2,17.8,32.5,2.0,True,2021-05-18T17:00:00Z,2
Aaron Wan-Bissaka,DEF,Man Utd,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-05-23T15:00:00Z,0
