name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Alexis Mac Allister,MID,Brighton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-09-14T19:15:00Z,0
Alexis Mac Allister,MID,Brighton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-09-20T13:00:00Z,0
Alexis Mac Allister,MID,Brighton,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-09-26T11:30:00Z,0
Alexis Mac Allister,MID,Brighton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-10-03T14:00:00Z,0
Alexis Mac Allister,MID,Brighton,Crystal Palace,12,1,0,0,0,22,0,0,0,0,0,0,4.4,36.2,0.5,7.0,False,2020-10-18T13:00:00Z,9
Alexis Mac Allister,MID,Brighton,West Brom,20,0,0,1,0,4,0,0,0,0,0,0,0.7,6.2,0.9,0.0,True,2020-10-26T17:30:00Z,1
Alexis Mac Allister,MID,Brighton,Spurs,11,0,0,0,0,3,0,0,0,0,0,0,0.2,1.0,1.3,0.0,False,2020-11-01T19:15:00Z,1
Alexis Mac Allister,MID,Brighton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-11-06T17:30:00Z,0
Alexis Mac Allister,MID,Brighton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-11-21T15:00:00Z,0
Alexis Mac Allister,MID,Brighton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-11-28T12:30:00Z,0
Alexis Mac Allister,MID,Brighton,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-07T20:00:00Z,0
Alexis Mac Allister,MID,Brighton,Leicester,18,0,0,0,0,3,0,0,0,0,0,0,1.0,2.0,0.3,8.0,False,2020-12-13T19:15:00Z,1
Alexis Mac Allister,MID,Brighton,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-16T20:00:00Z,0
Alexis Mac Allister,MID,Brighton,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-20T12:00:00Z,0
Alexis Mac Allister,MID,Brighton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-27T14:15:00Z,0
Alexis Mac Allister,MID,Brighton,Arsenal,66,0,0,1,0,4,0,0,0,0,0,0,2.2,0.0,12.5,11.0,True,2020-12-29T18:00:00Z,2
Alexis Mac Allister,MID,Brighton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-02T17:30:00Z,0
Alexis Mac Allister,MID,Brighton,Man City,90,0,0,1,0,10,0,0,0,0,0,0,3.1,14.8,12.8,3.0,False,2021-01-13T18:00:00Z,2
Alexis Mac Allister,MID,Brighton,Leeds,61,0,1,0,1,21,0,0,0,0,0,0,5.0,19.0,25.3,6.0,False,2021-01-16T15:00:00Z,6
Alexis Mac Allister,MID,Brighton,Fulham,82,0,0,0,1,8,1,0,0,0,0,0,4.2,14.4,23.5,4.0,True,2021-01-27T19:30:00Z,2
Alexis Mac Allister,MID,Brighton,Spurs,90,0,0,0,1,13,0,0,0,0,0,0,8.8,10.6,25.3,52.0,True,2021-01-31T19:15:00Z,3
Alexis Mac Allister,MID,Brighton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-02-03T20:15:00Z,0
Alexis Mac Allister,MID,Brighton,Burnley,90,0,0,1,0,5,0,0,0,0,0,0,2.5,8.4,14.2,2.0,False,2021-02-06T15:00:00Z,2
Alexis Mac Allister,MID,Brighton,Aston Villa,90,0,0,0,1,2,0,0,0,0,0,0,7.1,5.4,15.7,50.0,True,2021-02-13T20:00:00Z,3
Alexis Mac Allister,MID,Brighton,Crystal Palace,67,0,0,1,0,5,0,0,0,0,0,0,4.2,2.6,5.7,34.0,True,2021-02-22T20:00:00Z,2
Alexis Mac Allister,MID,Brighton,West Brom,45,0,0,1,0,4,0,0,0,0,0,0,1.7,4.6,12.3,0.0,False,2021-02-27T15:00:00Z,1
Alexis Mac Allister,MID,Brighton,Leicester,67,0,0,1,0,7,0,0,0,0,0,0,3.2,10.6,13.1,8.0,True,2021-03-06T20:00:00Z,2
Alexis Mac Allister,MID,Brighton,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-03-14T12:00:00Z,0
Alexis Mac Allister,MID,Brighton,Newcastle,11,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.5,0.0,True,2021-03-20T20:00:00Z,1
Alexis Mac Allister,MID,Brighton,Man Utd,27,0,0,1,0,3,0,0,0,0,0,0,0.7,5.8,0.8,0.0,False,2021-04-04T18:30:00Z,1
Alexis Mac Allister,MID,Brighton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-04-12T19:15:00Z,0
