name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Andy Carroll,FWD,Newcastle,West Ham,87,0,0,0,1,3,0,0,0,0,0,0,6.9,7.0,14.0,48.0,False,2020-09-12T19:00:00Z,2
Andy Carroll,FWD,Newcastle,Brighton,45,0,0,2,0,1,0,0,0,0,0,0,0.6,3.2,0.3,2.0,True,2020-09-20T13:00:00Z,1
Andy Carroll,FWD,Newcastle,Spurs,13,0,1,0,0,11,0,0,0,0,0,0,2.3,0.0,1.8,22.0,False,2020-09-27T13:00:00Z,4
Andy Carroll,FWD,Newcastle,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-10-03T19:00:00Z,0
Andy Carroll,FWD,Newcastle,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-10-17T19:00:00Z,0
Andy Carroll,FWD,Newcastle,Wolves,2,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.3,0.0,False,2020-10-25T16:30:00Z,1
Andy Carroll,FWD,Newcastle,Everton,3,0,0,1,0,3,0,0,0,0,0,0,0.2,2.0,0.3,0.0,True,2020-11-01T14:00:00Z,1
Andy Carroll,FWD,Newcastle,Southampton,12,0,0,1,0,2,0,0,0,0,0,0,0.3,2.6,0.2,0.0,False,2020-11-06T20:00:00Z,1
Andy Carroll,FWD,Newcastle,Chelsea,16,0,0,0,0,3,0,0,0,0,0,0,2.2,4.0,0.0,18.0,True,2020-11-21T12:30:00Z,1
Andy Carroll,FWD,Newcastle,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-11-27T20:00:00Z,0
Andy Carroll,FWD,Newcastle,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-12T15:00:00Z,0
Andy Carroll,FWD,Newcastle,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-16T18:00:00Z,0
Andy Carroll,FWD,Newcastle,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-19T20:00:00Z,0
Andy Carroll,FWD,Newcastle,Man City,19,0,0,0,0,2,0,0,0,0,0,0,0.7,0.0,2.4,6.0,False,2020-12-26T20:00:00Z,1
Andy Carroll,FWD,Newcastle,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-30T20:00:00Z,0
Andy Carroll,FWD,Newcastle,Leicester,11,1,0,0,0,29,0,0,0,0,0,0,8.2,38.0,1.3,43.0,True,2021-01-03T14:15:00Z,8
Andy Carroll,FWD,Newcastle,Sheffield Utd,13,0,0,0,0,3,0,0,0,0,0,0,0.1,0.4,0.5,0.0,False,2021-01-12T18:00:00Z,1
Andy Carroll,FWD,Newcastle,Arsenal,68,0,0,2,0,6,0,0,0,0,0,0,1.8,0.0,13.3,5.0,False,2021-01-18T20:00:00Z,2
Andy Carroll,FWD,Newcastle,Aston Villa,70,0,0,2,0,-2,1,0,0,0,0,0,0.2,0.0,1.6,8.0,False,2021-01-23T20:00:00Z,1
Andy Carroll,FWD,Newcastle,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-26T18:00:00Z,0
Andy Carroll,FWD,Newcastle,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-30T12:30:00Z,0
