name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Callum Robinson,FWD,West Brom,Leicester,59,0,0,1,0,-3,0,0,0,0,0,0,0.1,0.0,1.3,2.0,True,2020-09-13T13:00:00Z,1
Callum Robinson,FWD,West Brom,Everton,90,0,0,5,0,2,0,0,0,0,0,0,4.6,7.6,25.0,13.0,False,2020-09-19T11:30:00Z,2
Callum Robinson,FWD,West Brom,Chelsea,65,2,0,1,0,54,0,0,0,0,0,0,10.3,64.0,4.0,35.0,True,2020-09-26T16:30:00Z,13
Callum Robinson,FWD,West Brom,Southampton,59,0,0,1,0,3,0,0,0,0,0,0,0.7,1.2,2.0,4.0,False,2020-10-04T11:00:00Z,1
Callum Robinson,FWD,West Brom,Burnley,17,0,0,0,0,1,0,0,0,0,0,0,0.1,0.0,1.3,0.0,True,2020-10-19T16:30:00Z,1
Callum Robinson,FWD,West Brom,Brighton,27,0,1,0,0,15,0,0,0,0,0,0,1.5,4.6,6.7,4.0,False,2020-10-26T17:30:00Z,4
Callum Robinson,FWD,West Brom,Fulham,34,0,0,0,0,1,0,0,0,0,0,0,3.7,0.0,0.5,38.0,False,2020-11-02T17:30:00Z,1
Callum Robinson,FWD,West Brom,Spurs,66,0,0,0,1,10,0,0,0,0,0,0,6.6,8.6,33.3,24.0,True,2020-11-08T12:00:00Z,2
Callum Robinson,FWD,West Brom,Man Utd,28,0,0,0,0,3,0,0,0,0,0,0,0.4,0.0,1.3,4.0,False,2020-11-21T20:00:00Z,1
Callum Robinson,FWD,West Brom,Sheffield Utd,64,0,0,0,1,4,0,0,0,0,0,0,1.8,1.4,6.4,10.0,True,2020-11-28T20:00:00Z,2
Callum Robinson,FWD,West Brom,Crystal Palace,28,0,0,2,0,2,0,0,0,0,0,0,1.0,0.4,7.5,2.0,True,2020-12-06T12:00:00Z,1
Callum Robinson,FWD,West Brom,Newcastle,45,0,0,1,0,4,0,0,0,0,0,0,3.0,3.8,26.4,0.0,False,2020-12-12T15:00:00Z,1
Callum Robinson,FWD,West Brom,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-15T20:00:00Z,0
Callum Robinson,FWD,West Brom,Aston Villa,7,0,0,2,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-20T19:15:00Z,1
Callum Robinson,FWD,West Brom,Liverpool,72,0,0,1,0,11,0,0,0,0,0,0,2.3,6.4,16.7,0.0,False,2020-12-27T16:30:00Z,2
