name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Ciaran Clark,DEF,Newcastle,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-09-12T19:00:00Z,0
Ciaran Clark,DEF,Newcastle,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-09-20T13:00:00Z,0
Ciaran Clark,DEF,Newcastle,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-09-27T13:00:00Z,0
Ciaran Clark,DEF,Newcastle,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-10-03T19:00:00Z,0
Ciaran Clark,DEF,Newcastle,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-10-17T19:00:00Z,0
Ciaran Clark,DEF,Newcastle,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-10-25T16:30:00Z,0
Ciaran Clark,DEF,Newcastle,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-11-01T14:00:00Z,0
Ciaran Clark,DEF,Newcastle,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-11-06T20:00:00Z,0
Ciaran Clark,DEF,Newcastle,Chelsea,90,0,0,2,0,9,0,0,0,0,0,0,1.3,12.2,0.9,0.0,True,2020-11-21T12:30:00Z,1
Ciaran Clark,DEF,Newcastle,Crystal Palace,90,0,0,0,1,25,0,0,0,0,0,0,1.8,17.4,0.3,0.0,False,2020-11-27T20:00:00Z,6
Ciaran Clark,DEF,Newcastle,West Brom,90,0,0,1,0,17,0,0,0,0,0,0,3.8,25.2,10.4,2.0,True,2020-12-12T15:00:00Z,2
Ciaran Clark,DEF,Newcastle,Leeds,90,1,0,5,0,25,0,0,0,0,0,0,7.3,55.4,0.3,17.0,False,2020-12-16T18:00:00Z,6
Ciaran Clark,DEF,Newcastle,Fulham,90,0,0,1,0,11,1,0,0,0,0,0,1.5,13.8,0.8,0.0,True,2020-12-19T20:00:00Z,1
Ciaran Clark,DEF,Newcastle,Man City,90,0,0,2,0,6,0,0,0,0,0,0,3.0,11.2,0.7,18.0,False,2020-12-26T20:00:00Z,1
Ciaran Clark,DEF,Newcastle,Liverpool,90,0,0,0,1,17,1,0,0,0,0,0,4.3,20.8,0.8,21.0,True,2020-12-30T20:00:00Z,5
Ciaran Clark,DEF,Newcastle,Leicester,90,0,0,2,0,9,0,0,0,0,0,0,2.2,10.0,1.2,11.0,True,2021-01-03T14:15:00Z,1
Ciaran Clark,DEF,Newcastle,Sheffield Utd,90,0,0,1,0,12,0,0,0,0,0,0,3.0,29.8,0.2,0.0,False,2021-01-12T18:00:00Z,2
Ciaran Clark,DEF,Newcastle,Arsenal,90,0,0,3,0,11,0,0,0,0,0,0,0.8,7.6,0.6,0.0,False,2021-01-18T20:00:00Z,1
Ciaran Clark,DEF,Newcastle,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-23T20:00:00Z,0
Ciaran Clark,DEF,Newcastle,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-26T18:00:00Z,0
Ciaran Clark,DEF,Newcastle,Everton,36,0,0,0,0,4,0,0,0,0,0,0,0.8,7.4,0.1,0.0,False,2021-01-30T12:30:00Z,1
Ciaran Clark,DEF,Newcastle,Crystal Palace,88,0,0,2,0,15,0,0,0,0,0,0,5.0,17.2,11.1,22.0,True,2021-02-02T20:15:00Z,1
