name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
César Azpilicueta,DEF,Chelsea,Brighton,5,0,0,0,0,3,0,0,0,0,0,0,0.3,0.4,0.5,2.0,False,2020-09-14T19:15:00Z,1
César Azpilicueta,DEF,Chelsea,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-09-20T15:30:00Z,0
César Azpilicueta,DEF,Chelsea,West Brom,45,0,1,0,0,18,0,0,0,0,0,0,5.4,29.4,13.7,11.0,False,2020-09-26T16:30:00Z,4
César Azpilicueta,DEF,Chelsea,Crystal Palace,90,0,0,0,1,17,1,0,0,0,0,0,4.2,7.6,16.0,18.0,True,2020-10-03T11:30:00Z,5
César Azpilicueta,DEF,Chelsea,Southampton,90,0,0,3,0,10,0,0,0,0,0,0,2.7,18.0,7.0,2.0,True,2020-10-17T14:00:00Z,1
César Azpilicueta,DEF,Chelsea,Man Utd,90,0,0,0,1,24,0,0,0,0,0,0,1.8,16.4,2.0,0.0,False,2020-10-24T16:30:00Z,6
César Azpilicueta,DEF,Chelsea,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-10-31T15:00:00Z,0
César Azpilicueta,DEF,Chelsea,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-11-07T17:30:00Z,0
César Azpilicueta,DEF,Chelsea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-11-21T12:30:00Z,0
César Azpilicueta,DEF,Chelsea,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-11-29T16:30:00Z,0
César Azpilicueta,DEF,Chelsea,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-05T20:00:00Z,0
César Azpilicueta,DEF,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-12T20:00:00Z,0
César Azpilicueta,DEF,Chelsea,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-15T18:00:00Z,0
César Azpilicueta,DEF,Chelsea,West Ham,90,0,0,0,1,32,0,0,0,0,0,0,3.4,28.6,3.5,2.0,True,2020-12-21T20:00:00Z,7
César Azpilicueta,DEF,Chelsea,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-26T17:30:00Z,0
César Azpilicueta,DEF,Chelsea,Aston Villa,90,0,0,1,0,8,1,0,0,0,0,0,4.3,17.4,25.9,0.0,True,2020-12-28T17:30:00Z,1
César Azpilicueta,DEF,Chelsea,Man City,90,0,0,3,0,16,0,0,0,0,0,0,5.4,18.0,17.3,19.0,True,2021-01-03T16:30:00Z,1
César Azpilicueta,DEF,Chelsea,Fulham,90,0,0,0,1,18,1,0,0,0,0,0,4.6,12.6,17.2,16.0,False,2021-01-16T17:30:00Z,5
César Azpilicueta,DEF,Chelsea,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-19T20:15:00Z,0
César Azpilicueta,DEF,Chelsea,Wolves,90,0,0,0,1,28,0,0,0,0,0,0,5.1,19.2,29.3,2.0,True,2021-01-27T18:00:00Z,7
César Azpilicueta,DEF,Chelsea,Burnley,90,1,0,0,1,42,0,0,0,0,0,0,8.8,49.8,18.7,19.0,True,2021-01-31T12:00:00Z,15
César Azpilicueta,DEF,Chelsea,Spurs,90,0,0,0,1,22,1,0,0,0,0,0,2.8,8.0,14.2,6.0,False,2021-02-04T20:00:00Z,5
