name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Emil Krafth,DEF,Newcastle,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-09-12T19:00:00Z,0
Emil Krafth,DEF,Newcastle,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-09-20T13:00:00Z,0
Emil Krafth,DEF,Newcastle,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-09-27T13:00:00Z,0
Emil Krafth,DEF,Newcastle,Burnley,90,0,0,1,0,14,0,0,0,0,0,0,3.4,18.2,15.8,0.0,True,2020-10-03T19:00:00Z,2
Emil Krafth,DEF,Newcastle,Man Utd,90,0,1,4,0,16,1,0,0,0,0,0,3.5,22.0,11.1,2.0,True,2020-10-17T19:00:00Z,2
Emil Krafth,DEF,Newcastle,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-10-25T16:30:00Z,0
Emil Krafth,DEF,Newcastle,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-11-01T14:00:00Z,0
Emil Krafth,DEF,Newcastle,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-11-06T20:00:00Z,0
Emil Krafth,DEF,Newcastle,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-11-21T12:30:00Z,0
Emil Krafth,DEF,Newcastle,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-11-27T20:00:00Z,0
Emil Krafth,DEF,Newcastle,West Brom,79,0,0,1,0,11,0,0,0,0,0,0,1.2,5.6,2.8,4.0,True,2020-12-12T15:00:00Z,2
Emil Krafth,DEF,Newcastle,Leeds,28,0,0,3,0,8,0,0,0,0,0,0,1.3,12.8,0.1,0.0,False,2020-12-16T18:00:00Z,0
Emil Krafth,DEF,Newcastle,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-19T20:00:00Z,0
Emil Krafth,DEF,Newcastle,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-26T20:00:00Z,0
Emil Krafth,DEF,Newcastle,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-30T20:00:00Z,0
Emil Krafth,DEF,Newcastle,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-03T14:15:00Z,0
Emil Krafth,DEF,Newcastle,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-12T18:00:00Z,0
Emil Krafth,DEF,Newcastle,Arsenal,90,0,0,3,0,9,0,0,0,0,0,0,1.4,13.4,0.9,0.0,False,2021-01-18T20:00:00Z,1
Emil Krafth,DEF,Newcastle,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-23T20:00:00Z,0
Emil Krafth,DEF,Newcastle,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-26T18:00:00Z,0
Emil Krafth,DEF,Newcastle,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-30T12:30:00Z,0
Emil Krafth,DEF,Newcastle,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-02-02T20:15:00Z,0
Emil Krafth,DEF,Newcastle,Southampton,66,0,0,2,0,6,1,0,0,0,0,0,2.0,19.2,0.4,0.0,True,2021-02-06T15:00:00Z,0
Emil Krafth,DEF,Newcastle,Chelsea,90,0,0,2,0,8,0,0,0,0,0,0,0.8,6.4,2.0,0.0,False,2021-02-15T20:00:00Z,1
Emil Krafth,DEF,Newcastle,Man Utd,90,0,0,3,0,8,0,0,0,0,0,0,3.6,13.4,21.0,2.0,False,2021-02-21T19:00:00Z,1
Emil Krafth,DEF,Newcastle,Wolves,71,0,0,0,1,18,0,0,0,0,0,0,1.9,11.0,1.2,7.0,True,2021-02-27T20:00:00Z,6
Emil Krafth,DEF,Newcastle,West Brom,90,0,0,0,1,19,0,0,0,0,0,0,2.3,13.6,1.0,8.0,False,2021-03-07T12:00:00Z,6
Emil Krafth,DEF,Newcastle,Aston Villa,82,0,0,0,1,18,1,0,0,0,0,0,3.0,11.4,0.7,18.0,True,2021-03-12T20:00:00Z,5
Emil Krafth,DEF,Newcastle,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-03-20T20:00:00Z,0
Emil Krafth,DEF,Newcastle,Spurs,78,0,0,2,0,18,0,0,0,0,0,0,6.6,10.8,28.7,26.0,True,2021-04-04T13:05:00Z,1
Emil Krafth,DEF,Newcastle,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-04-11T11:00:00Z,0
Emil Krafth,DEF,Newcastle,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-04-17T11:30:00Z,0
Emil Krafth,DEF,Newcastle,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-04-24T11:30:00Z,0
Emil Krafth,DEF,Newcastle,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-05-02T13:00:00Z,0
Emil Krafth,DEF,Newcastle,Leicester,90,0,0,2,0,4,1,0,0,0,0,0,1.8,17.8,0.3,0.0,False,2021-05-07T19:00:00Z,0
Emil Krafth,DEF,Newcastle,Man City,90,1,0,4,0,20,0,0,0,0,0,0,6.2,42.8,0.0,19.0,True,2021-05-14T19:00:00Z,6
Emil Krafth,DEF,Newcastle,Sheffield Utd,90,0,0,0,1,25,0,0,0,0,0,0,1.2,8.8,1.3,2.0,True,2021-05-19T17:00:00Z,6
Emil Krafth,DEF,Newcastle,Fulham,72,0,0,0,1,20,0,0,0,0,0,0,1.4,13.2,0.4,0.0,False,2021-05-23T15:00:00Z,6
