name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Giovani Lo Celso,MID,Spurs,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-09-13T15:30:00Z,0
Giovani Lo Celso,MID,Spurs,Southampton,45,0,0,1,0,2,1,0,0,0,0,0,2.2,1.8,11.8,8.0,False,2020-09-20T11:00:00Z,0
Giovani Lo Celso,MID,Spurs,Newcastle,76,0,0,0,1,8,0,0,0,0,0,0,8.2,12.6,34.5,35.0,True,2020-09-27T13:00:00Z,3
Giovani Lo Celso,MID,Spurs,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-10-04T15:30:00Z,0
Giovani Lo Celso,MID,Spurs,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-10-18T15:30:00Z,0
Giovani Lo Celso,MID,Spurs,Burnley,11,0,0,0,0,4,0,0,0,0,0,0,3.8,5.2,11.8,21.0,False,2020-10-26T20:00:00Z,1
Giovani Lo Celso,MID,Spurs,Brighton,26,0,0,0,0,2,0,0,0,0,0,0,3.6,5.6,25.6,5.0,True,2020-11-01T19:15:00Z,1
Giovani Lo Celso,MID,Spurs,West Brom,26,0,0,0,0,3,0,0,0,0,0,0,1.3,3.4,1.9,8.0,False,2020-11-08T12:00:00Z,1
Giovani Lo Celso,MID,Spurs,Man City,25,1,0,0,0,19,0,0,0,0,0,0,5.7,38.8,0.7,17.0,True,2020-11-21T17:30:00Z,6
Giovani Lo Celso,MID,Spurs,Chelsea,25,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,2.2,0.0,False,2020-11-29T16:30:00Z,1
Giovani Lo Celso,MID,Spurs,Arsenal,71,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,2.3,2.0,True,2020-12-06T16:30:00Z,2
Giovani Lo Celso,MID,Spurs,Crystal Palace,23,0,0,1,0,7,0,0,0,0,0,0,1.3,1.6,11.1,0.0,False,2020-12-13T14:15:00Z,1
Giovani Lo Celso,MID,Spurs,Liverpool,57,0,1,1,0,20,1,0,0,0,0,0,4.9,24.8,24.1,0.0,False,2020-12-16T20:00:00Z,3
Giovani Lo Celso,MID,Spurs,Leicester,48,0,0,1,0,6,0,0,0,0,0,0,1.5,13.8,0.7,0.0,True,2020-12-20T14:15:00Z,1
Giovani Lo Celso,MID,Spurs,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-27T19:15:00Z,0
Giovani Lo Celso,MID,Spurs,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-02T12:30:00Z,0
Giovani Lo Celso,MID,Spurs,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-13T20:15:00Z,0
Giovani Lo Celso,MID,Spurs,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-17T14:00:00Z,0
Giovani Lo Celso,MID,Spurs,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-28T20:00:00Z,0
Giovani Lo Celso,MID,Spurs,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-31T19:15:00Z,0
Giovani Lo Celso,MID,Spurs,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-02-04T20:00:00Z,0
Giovani Lo Celso,MID,Spurs,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-02-07T12:00:00Z,0
Giovani Lo Celso,MID,Spurs,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-02-13T17:30:00Z,0
Giovani Lo Celso,MID,Spurs,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-02-21T12:00:00Z,0
Giovani Lo Celso,MID,Spurs,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-02-28T14:00:00Z,0
Giovani Lo Celso,MID,Spurs,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-03-04T18:00:00Z,0
Giovani Lo Celso,MID,Spurs,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-03-07T19:15:00Z,0
Giovani Lo Celso,MID,Spurs,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-03-14T16:30:00Z,0
