name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Ian Carlo Poveda-Ocampo,MID,Leeds,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-09-12T16:30:00Z,0
Ian Carlo Poveda-Ocampo,MID,Leeds,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-09-19T14:00:00Z,0
Ian Carlo Poveda-Ocampo,MID,Leeds,Sheffield Utd,24,0,0,0,0,2,0,0,0,0,0,0,2.9,3.2,0.8,25.0,False,2020-09-27T11:00:00Z,1
Ian Carlo Poveda-Ocampo,MID,Leeds,Man City,45,0,0,0,0,7,0,0,0,0,0,0,2.2,7.8,14.5,0.0,True,2020-10-03T16:30:00Z,1
Ian Carlo Poveda-Ocampo,MID,Leeds,Wolves,19,0,0,0,0,-1,0,0,0,0,0,0,2.1,1.8,0.8,18.0,True,2020-10-19T19:00:00Z,1
Ian Carlo Poveda-Ocampo,MID,Leeds,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-10-23T19:00:00Z,0
Ian Carlo Poveda-Ocampo,MID,Leeds,Leicester,45,0,0,2,0,2,0,0,0,0,0,0,1.2,3.8,2.1,6.0,True,2020-11-02T20:00:00Z,1
Ian Carlo Poveda-Ocampo,MID,Leeds,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-11-07T15:00:00Z,0
Ian Carlo Poveda-Ocampo,MID,Leeds,Arsenal,10,0,0,0,0,7,0,0,0,0,0,0,4.1,7.0,14.6,19.0,True,2020-11-22T16:30:00Z,1
Ian Carlo Poveda-Ocampo,MID,Leeds,Everton,5,0,0,0,0,6,0,0,0,0,0,0,1.6,3.2,10.5,2.0,False,2020-11-28T17:30:00Z,1
Ian Carlo Poveda-Ocampo,MID,Leeds,Chelsea,33,0,0,2,0,-1,0,0,0,0,0,0,1.3,4.0,0.4,9.0,False,2020-12-05T20:00:00Z,1
Ian Carlo Poveda-Ocampo,MID,Leeds,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-11T20:00:00Z,0
Ian Carlo Poveda-Ocampo,MID,Leeds,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-16T18:00:00Z,0
Ian Carlo Poveda-Ocampo,MID,Leeds,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-20T16:30:00Z,0
