name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Ibrahima Diallo,MID,Southampton,Chelsea,3,0,0,0,0,3,0,0,0,0,0,0,1.3,2.4,10.2,0.0,False,2020-10-17T14:00:00Z,1
Ibrahima Diallo,MID,Southampton,Everton,4,0,0,0,0,3,0,0,0,0,0,0,0.7,1.0,1.5,4.0,True,2020-10-25T14:00:00Z,1
Ibrahima Diallo,MID,Southampton,Aston Villa,11,0,0,2,0,-7,1,0,0,0,0,0,0.0,0.0,0.1,0.0,False,2020-11-01T12:00:00Z,0
Ibrahima Diallo,MID,Southampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-11-06T20:00:00Z,0
Ibrahima Diallo,MID,Southampton,Wolves,1,0,0,0,0,4,0,0,0,0,0,0,0.1,1.0,0.0,0.0,False,2020-11-23T20:00:00Z,1
Ibrahima Diallo,MID,Southampton,Man Utd,1,0,0,1,0,3,0,0,0,0,0,0,0.1,1.0,0.0,0.0,True,2020-11-29T14:00:00Z,1
Ibrahima Diallo,MID,Southampton,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-07T20:00:00Z,0
Ibrahima Diallo,MID,Southampton,Sheffield Utd,4,0,0,0,0,4,0,0,0,0,0,0,0.2,1.2,1.0,0.0,True,2020-12-13T12:00:00Z,1
Ibrahima Diallo,MID,Southampton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-16T18:00:00Z,0
Ibrahima Diallo,MID,Southampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-19T15:00:00Z,0
Ibrahima Diallo,MID,Southampton,Fulham,90,0,0,0,1,12,0,0,0,0,0,0,1.3,10.0,3.0,0.0,False,2020-12-26T15:00:00Z,3
Ibrahima Diallo,MID,Southampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-29T18:00:00Z,0
Ibrahima Diallo,MID,Southampton,Liverpool,90,0,0,0,1,9,0,0,0,0,0,0,1.3,10.2,2.5,0.0,True,2021-01-04T20:00:00Z,3
Ibrahima Diallo,MID,Southampton,Leicester,86,0,0,1,0,7,1,0,0,0,0,0,1.3,9.2,3.9,0.0,False,2021-01-16T20:00:00Z,1
Ibrahima Diallo,MID,Southampton,Arsenal,90,0,0,3,0,9,0,0,0,0,0,0,1.9,6.2,3.2,10.0,True,2021-01-26T20:15:00Z,2
Ibrahima Diallo,MID,Southampton,Aston Villa,58,0,0,1,0,10,0,0,0,0,0,0,4.1,9.6,23.7,8.0,True,2021-01-30T20:00:00Z,1
Ibrahima Diallo,MID,Southampton,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-02-02T20:15:00Z,0
Ibrahima Diallo,MID,Southampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-02-06T15:00:00Z,0
Ibrahima Diallo,MID,Southampton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-02-14T12:00:00Z,0
Ibrahima Diallo,MID,Southampton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-02-20T12:30:00Z,0
Ibrahima Diallo,MID,Southampton,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-02-23T18:00:00Z,0
Ibrahima Diallo,MID,Southampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-03-01T20:00:00Z,0
Ibrahima Diallo,MID,Southampton,Sheffield Utd,90,0,0,0,1,10,0,0,0,0,0,0,3.5,10.6,22.8,2.0,False,2021-03-06T15:00:00Z,3
Ibrahima Diallo,MID,Southampton,Man City,27,0,0,0,0,11,0,0,0,0,0,0,1.4,7.0,7.0,0.0,False,2021-03-10T18:00:00Z,1
Ibrahima Diallo,MID,Southampton,Brighton,90,0,0,2,0,15,0,0,0,0,0,0,2.9,11.2,17.8,0.0,True,2021-03-14T12:00:00Z,2
Ibrahima Diallo,MID,Southampton,Burnley,90,0,0,2,0,10,0,0,0,0,0,0,3.3,13.8,3.5,16.0,True,2021-04-04T11:00:00Z,2
Ibrahima Diallo,MID,Southampton,West Brom,90,0,0,3,0,10,0,0,0,0,0,0,1.5,11.4,4.0,0.0,False,2021-04-12T17:00:00Z,2
Ibrahima Diallo,MID,Southampton,Spurs,33,0,0,2,0,0,0,0,0,0,0,0,0.2,1.4,0.5,0.0,False,2021-04-21T17:00:00Z,1
Ibrahima Diallo,MID,Southampton,Leicester,14,0,0,0,0,3,0,0,0,0,0,0,0.4,4.0,0.3,0.0,True,2021-04-30T19:00:00Z,1
Ibrahima Diallo,MID,Southampton,Liverpool,24,0,0,1,0,2,0,0,0,0,0,0,1.7,0.0,0.3,17.0,False,2021-05-08T19:15:00Z,1
Ibrahima Diallo,MID,Southampton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-05-11T19:15:00Z,0
Ibrahima Diallo,MID,Southampton,Fulham,12,0,0,0,0,1,0,0,0,0,0,0,0.1,0.4,0.4,0.0,True,2021-05-15T14:00:00Z,1
Ibrahima Diallo,MID,Southampton,Leeds,12,0,0,1,0,4,0,0,0,0,0,0,1.6,3.8,11.8,0.0,True,2021-05-18T17:00:00Z,1
Ibrahima Diallo,MID,Southampton,West Ham,90,0,0,3,0,9,1,0,0,0,0,0,4.0,5.0,25.7,9.0,False,2021-05-23T15:00:00Z,1
