name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Matt Doherty,DEF,Spurs,Everton,75,0,0,1,0,6,0,0,0,0,0,0,5.9,20.0,3.5,35.0,True,2020-09-13T15:30:00Z,2
Matt Doherty,DEF,Spurs,Southampton,90,0,0,2,0,-1,1,0,0,0,0,0,0.4,3.0,1.2,0.0,False,2020-09-20T11:00:00Z,0
Matt Doherty,DEF,Spurs,Newcastle,90,0,0,1,0,16,0,0,0,0,0,0,5.9,24.2,26.7,8.0,True,2020-09-27T13:00:00Z,2
Matt Doherty,DEF,Spurs,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-10-04T15:30:00Z,0
Matt Doherty,DEF,Spurs,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-10-18T15:30:00Z,0
Matt Doherty,DEF,Spurs,Burnley,90,0,0,0,1,27,0,0,0,0,0,0,3.9,17.4,17.1,4.0,False,2020-10-26T20:00:00Z,6
Matt Doherty,DEF,Spurs,Brighton,90,0,0,1,0,9,0,0,0,0,0,0,1.8,14.4,2.0,2.0,True,2020-11-01T19:15:00Z,2
Matt Doherty,DEF,Spurs,West Brom,90,0,1,0,1,40,0,0,0,0,0,0,6.5,34.0,30.6,0.0,False,2020-11-08T12:00:00Z,12
Matt Doherty,DEF,Spurs,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-11-21T17:30:00Z,0
Matt Doherty,DEF,Spurs,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-11-29T16:30:00Z,0
Matt Doherty,DEF,Spurs,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-06T16:30:00Z,0
Matt Doherty,DEF,Spurs,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-13T14:15:00Z,0
Matt Doherty,DEF,Spurs,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-16T20:00:00Z,0
Matt Doherty,DEF,Spurs,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-20T14:15:00Z,0
Matt Doherty,DEF,Spurs,Wolves,90,0,0,1,0,12,0,0,0,0,0,0,2.1,18.4,2.2,0.0,False,2020-12-27T19:15:00Z,2
Matt Doherty,DEF,Spurs,Leeds,90,0,0,0,1,11,0,1,0,0,0,0,1.9,3.0,11.5,4.0,True,2021-01-02T12:30:00Z,3
Matt Doherty,DEF,Spurs,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-13T20:15:00Z,0
Matt Doherty,DEF,Spurs,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-17T14:00:00Z,0
Matt Doherty,DEF,Spurs,Liverpool,90,0,0,3,0,7,0,0,0,0,0,0,0.5,1.2,3.8,0.0,True,2021-01-28T20:00:00Z,1
Matt Doherty,DEF,Spurs,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-31T19:15:00Z,0
Matt Doherty,DEF,Spurs,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-02-04T20:00:00Z,0
Matt Doherty,DEF,Spurs,West Brom,22,0,0,0,0,2,0,0,0,0,0,0,0.1,0.2,1.0,0.0,True,2021-02-07T12:00:00Z,1
Matt Doherty,DEF,Spurs,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-02-13T17:30:00Z,0
Matt Doherty,DEF,Spurs,West Ham,45,0,0,1,0,6,0,0,0,0,0,0,3.1,14.0,15.1,2.0,False,2021-02-21T12:00:00Z,1
Matt Doherty,DEF,Spurs,Burnley,9,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-02-28T14:00:00Z,1
Matt Doherty,DEF,Spurs,Fulham,90,0,0,0,1,24,0,0,0,0,0,0,2.3,19.8,1.3,2.0,False,2021-03-04T18:00:00Z,7
Matt Doherty,DEF,Spurs,Crystal Palace,90,0,1,1,0,23,1,0,0,0,0,0,8.1,34.2,42.8,4.0,True,2021-03-07T19:15:00Z,4
Matt Doherty,DEF,Spurs,Arsenal,90,0,0,2,0,11,0,0,0,0,0,0,1.8,16.0,2.4,0.0,False,2021-03-14T16:30:00Z,1
Matt Doherty,DEF,Spurs,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-03-21T19:30:00Z,0
Matt Doherty,DEF,Spurs,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-04-04T13:05:00Z,0
Matt Doherty,DEF,Spurs,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-04-11T15:30:00Z,0
Matt Doherty,DEF,Spurs,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-04-16T19:00:00Z,0
Matt Doherty,DEF,Spurs,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-04-21T17:00:00Z,0
Matt Doherty,DEF,Spurs,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-05-02T18:15:00Z,0
Matt Doherty,DEF,Spurs,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-05-08T11:30:00Z,0
Matt Doherty,DEF,Spurs,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-05-16T13:05:00Z,0
Matt Doherty,DEF,Spurs,Aston Villa,7,0,0,0,0,9,0,0,0,0,0,0,2.8,10.6,14.9,2.0,True,2021-05-19T17:00:00Z,1
Matt Doherty,DEF,Spurs,Leicester,90,0,0,2,0,16,0,0,0,0,0,0,4.9,26.8,6.3,16.0,False,2021-05-23T15:00:00Z,1
