name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Pascal Groß,MID,Brighton,Chelsea,11,0,0,0,0,4,0,0,0,0,0,0,0.3,2.6,0.3,0.0,True,2020-09-14T19:15:00Z,1
Pascal Groß,MID,Brighton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-09-20T13:00:00Z,0
Pascal Groß,MID,Brighton,Man Utd,16,0,0,1,0,5,0,0,0,0,0,0,3.0,4.0,16.2,10.0,True,2020-09-26T11:30:00Z,1
Pascal Groß,MID,Brighton,Everton,8,0,0,0,0,3,0,0,0,0,0,0,0.4,2.0,1.8,0.0,False,2020-10-03T14:00:00Z,1
Pascal Groß,MID,Brighton,Crystal Palace,8,0,0,0,0,4,0,0,0,0,0,0,1.8,3.0,14.7,0.0,False,2020-10-18T13:00:00Z,1
Pascal Groß,MID,Brighton,West Brom,29,0,0,1,0,7,0,0,0,0,0,0,2.4,8.2,15.3,0.0,True,2020-10-26T17:30:00Z,1
Pascal Groß,MID,Brighton,Spurs,90,0,1,2,0,22,0,0,0,0,0,0,7.1,29.8,41.1,0.0,False,2020-11-01T19:15:00Z,6
Pascal Groß,MID,Brighton,Burnley,90,0,0,0,1,17,0,0,0,0,0,0,13.0,22.0,54.3,54.0,True,2020-11-06T17:30:00Z,3
Pascal Groß,MID,Brighton,Aston Villa,90,0,1,1,0,24,0,0,0,0,0,0,6.9,29.2,35.7,4.0,False,2020-11-21T15:00:00Z,5
Pascal Groß,MID,Brighton,Liverpool,90,1,0,1,0,30,0,0,0,0,0,0,7.5,41.6,16.8,17.0,True,2020-11-28T12:30:00Z,10
Pascal Groß,MID,Brighton,Southampton,90,1,0,2,0,27,1,0,0,0,0,0,10.9,37.2,41.0,31.0,True,2020-12-07T20:00:00Z,8
Pascal Groß,MID,Brighton,Leicester,90,0,0,3,0,15,0,0,0,0,0,0,5.7,16.4,40.8,0.0,False,2020-12-13T19:15:00Z,2
Pascal Groß,MID,Brighton,Fulham,4,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2020-12-16T20:00:00Z,1
Pascal Groß,MID,Brighton,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-12-20T12:00:00Z,0
Pascal Groß,MID,Brighton,West Ham,7,0,0,0,0,5,0,0,0,0,0,0,1.9,4.6,14.5,0.0,False,2020-12-27T14:15:00Z,1
Pascal Groß,MID,Brighton,Arsenal,90,0,0,1,0,14,0,0,0,0,0,0,7.2,14.4,45.6,12.0,True,2020-12-29T18:00:00Z,2
Pascal Groß,MID,Brighton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-01-02T17:30:00Z,0
Pascal Groß,MID,Brighton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-01-13T18:00:00Z,0
Pascal Groß,MID,Brighton,Leeds,90,0,0,0,1,7,0,0,0,0,0,0,2.4,10.2,11.8,2.0,False,2021-01-16T15:00:00Z,3
Pascal Groß,MID,Brighton,Fulham,90,0,0,0,1,17,0,0,0,0,0,0,9.3,13.0,47.3,33.0,True,2021-01-27T19:30:00Z,3
Pascal Groß,MID,Brighton,Spurs,90,0,1,0,1,38,0,0,0,0,0,0,13.6,40.4,81.7,14.0,True,2021-01-31T19:15:00Z,9
Pascal Groß,MID,Brighton,Liverpool,90,0,0,0,1,16,0,0,0,0,0,0,9.5,23.6,54.4,17.0,False,2021-02-03T20:15:00Z,3
Pascal Groß,MID,Brighton,Burnley,90,0,1,1,0,22,0,0,0,0,0,0,6.9,22.6,41.6,5.0,False,2021-02-06T15:00:00Z,5
Pascal Groß,MID,Brighton,Aston Villa,90,0,0,0,1,13,0,0,0,0,0,0,10.4,19.2,54.2,31.0,True,2021-02-13T20:00:00Z,3
Pascal Groß,MID,Brighton,Crystal Palace,80,0,0,1,0,15,0,0,0,0,0,0,7.4,10.2,41.8,22.0,True,2021-02-22T20:00:00Z,2
Pascal Groß,MID,Brighton,West Brom,90,0,0,1,0,11,0,0,0,0,1,0,8.4,25.2,41.8,17.0,False,2021-02-27T15:00:00Z,0
Pascal Groß,MID,Brighton,Leicester,90,0,0,2,0,11,0,0,0,0,0,0,7.5,12.6,54.8,8.0,True,2021-03-06T20:00:00Z,2
Pascal Groß,MID,Brighton,Southampton,90,0,1,1,0,14,0,0,0,0,0,0,7.6,31.8,18.8,25.0,False,2021-03-14T12:00:00Z,5
Pascal Groß,MID,Brighton,Newcastle,90,0,1,0,1,25,0,0,0,0,0,0,8.0,26.6,33.3,20.0,True,2021-03-20T20:00:00Z,6
