name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Raphael Dias Belloli,MID,Leeds,Wolves,8,0,0,0,0,3,0,0,0,0,0,0,1.1,0.4,4.2,6.0,True,2020-10-19T19:00:00Z,1
Raphael Dias Belloli,MID,Leeds,Aston Villa,7,0,0,0,0,2,0,0,0,0,0,0,0.4,0.0,0.8,4.0,False,2020-10-23T19:00:00Z,1
Raphael Dias Belloli,MID,Leeds,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2020-11-02T20:00:00Z,0
Raphael Dias Belloli,MID,Leeds,Crystal Palace,45,0,0,1,0,5,0,0,0,0,0,0,0.9,4.2,2.1,3.0,False,2020-11-07T15:00:00Z,1
Raphael Dias Belloli,MID,Leeds,Arsenal,90,0,0,0,1,10,0,0,0,0,0,0,5.5,6.0,21.2,28.0,True,2020-11-22T16:30:00Z,3
Raphael Dias Belloli,MID,Leeds,Everton,84,1,0,0,1,29,0,0,0,0,0,0,10.2,42.6,23.2,36.0,False,2020-11-28T17:30:00Z,9
Raphael Dias Belloli,MID,Leeds,Chelsea,90,0,0,3,0,6,1,0,0,0,0,0,5.7,9.8,22.8,24.0,False,2020-12-05T20:00:00Z,1
Raphael Dias Belloli,MID,Leeds,West Ham,90,0,0,2,0,18,0,0,0,0,0,0,12.3,25.4,52.4,45.0,True,2020-12-11T20:00:00Z,2
Raphael Dias Belloli,MID,Leeds,Newcastle,90,0,0,2,0,6,1,0,0,0,0,0,11.6,10.4,36.4,69.0,True,2020-12-16T18:00:00Z,1
Raphael Dias Belloli,MID,Leeds,Man Utd,90,0,2,6,0,21,0,0,0,0,0,0,15.2,43.0,57.8,51.0,False,2020-12-20T16:30:00Z,8
Raphael Dias Belloli,MID,Leeds,Burnley,69,0,0,0,1,12,0,0,0,0,0,0,7.5,13.0,20.9,41.0,True,2020-12-27T12:00:00Z,3
Raphael Dias Belloli,MID,Leeds,West Brom,80,1,0,0,1,25,0,0,0,0,0,0,6.4,37.6,4.8,22.0,False,2020-12-29T18:00:00Z,8
Raphael Dias Belloli,MID,Leeds,Spurs,90,0,0,3,0,16,0,0,0,0,0,0,7.9,20.8,46.8,11.0,False,2021-01-02T12:30:00Z,2
Raphael Dias Belloli,MID,Leeds,Brighton,74,0,0,1,0,9,0,0,0,0,0,0,2.6,9.8,16.5,0.0,True,2021-01-16T15:00:00Z,2
Raphael Dias Belloli,MID,Leeds,Newcastle,90,1,1,1,0,36,0,0,0,0,0,0,11.7,61.8,22.7,32.0,False,2021-01-26T18:00:00Z,13
Raphael Dias Belloli,MID,Leeds,Leicester,79,0,1,1,0,17,0,0,0,0,0,0,6.2,27.2,13.3,21.0,False,2021-01-31T14:00:00Z,5
Raphael Dias Belloli,MID,Leeds,Everton,90,1,0,2,0,25,0,0,0,0,0,0,15.1,52.2,25.0,74.0,True,2021-02-03T19:30:00Z,9
